typ_lokality;sitecode;nazev_lokality;typ_pro;skupina;kod_pro;nazev_pro
EVL;CZ0720013;Babí hora;Stanovištì;Lesy;91I0;Eurosibiøské stepní doubravy
EVL;CZ0720013;Babí hora;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6210;Polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia)
EVL;CZ0720013;Babí hora;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6510;Extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis)
EVL;CZ0424034;Babinské louky;Druh;Cévnaté rostliny;;zvonovec liliolistı (Adenophora liliifolia)
EVL;CZ0424034;Babinské louky;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6410;Bezkolencové louky na vápnitıch, rašelinnıch nebo hlinito-jílovitıch pùdách (Molinion caeruleae)
EVL;CZ0424034;Babinské louky;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6430;Vlhkomilná vysokobylinná lemová spoleèenstva níin a horského a alpínského stupnì
EVL;CZ0424034;Babinské louky;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6510;Extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis)
EVL;CZ0523824;Bìleè - støelnice;Druh;Váky;;váka jasnoskvrnná (Leucorrhinia pectoralis)
EVL;CZ0724089;Beskydy;Druh;Brouci;;støevlík hrbolatı (Carabus variolosus)
EVL;CZ0724089;Beskydy;Druh;Brouci;;lesák rumìlkovı (Cucujus cinnaberinus)
EVL;CZ0724089;Beskydy;Druh;Brouci;;rıhovec pralesní (Rhysodes sulcatus)
EVL;CZ0724089;Beskydy;Druh;Cévnaté rostliny;;omìj tuhı moravskı (Aconitum firmum subsp. moravicum)
EVL;CZ0724089;Beskydy;Stanovištì;Lesy;9110;Buèiny asociace Luzulo-Fagetum
EVL;CZ0724089;Beskydy;Stanovištì;Lesy;9130;Buèiny asociace Asperulo-Fagetum
EVL;CZ0724089;Beskydy;Stanovištì;Lesy;9140;Støedoevropské subalpínské buèiny s javorem (Acer) a šovíkem horskım (Rumex arifolius)
EVL;CZ0724089;Beskydy;Stanovištì;Lesy;9170;Dubohabøiny asociace Galio-Carpinetum
EVL;CZ0724089;Beskydy;Stanovištì;Lesy;9180;Lesy svazu Tilio-Acerion na svazích, sutích a v roklích
EVL;CZ0724089;Beskydy;Stanovištì;Lesy;9,10E+01;Smíšené jasanovo-olšové luní lesy temperátní a boreální Evropy (Alno-Padion, Alnion incanae, Salicion albae)
EVL;CZ0724089;Beskydy;Stanovištì;Lesy;9410;Acidofilní smrèiny (Vaccinio-Piceetea)
EVL;CZ0724089;Beskydy;Druh;Mechorosty;;šikoušek zelenı (Buxbaumia viridis)
EVL;CZ0724089;Beskydy;Druh;Mìkkıši;;velevrub tupı (Unio crassus)
EVL;CZ0724089;Beskydy;Druh;Netopıøi;;netopır velkı (Myotis myotis)
EVL;CZ0724089;Beskydy;Druh;Obojivelníci;;kuòka lutobøichá (Bombina variegata)
EVL;CZ0724089;Beskydy;Druh;Obojivelníci;;èolek karpatskı (Triturus montandoni)
EVL;CZ0724089;Beskydy;Druh;Ostatní savci;;vlk obecnı (Canis lupus)
EVL;CZ0724089;Beskydy;Druh;Ostatní savci;;vydra øíèní (Lutra lutra)
EVL;CZ0724089;Beskydy;Druh;Ostatní savci;;rys ostrovid (Lynx lynx)
EVL;CZ0724089;Beskydy;Druh;Ostatní savci;;medvìd hnìdı (Ursus arctos)
EVL;CZ0724089;Beskydy;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6210;Polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia)
EVL;CZ0724089;Beskydy;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6230;Druhovì bohaté smilkové louky na silikátovıch podloích v horskıch oblastech (a v kontinentální Evropì v podhorskıch oblastech)
EVL;CZ0724089;Beskydy;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6430;Vlhkomilná vysokobylinná lemová spoleèenstva níin a horského a alpínského stupnì
EVL;CZ0724089;Beskydy;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6510;Extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis)
EVL;CZ0724089;Beskydy;Stanovištì;Skalní stanovištì a jeskynì;8220;Chasmofytická vegetace silikátovıch skalnatıch svahù
EVL;CZ0724089;Beskydy;Stanovištì;Skalní stanovištì a jeskynì;8310;Jeskynì nepøístupné veøejnosti
EVL;CZ0724089;Beskydy;Stanovištì;Sladkovodní stanovištì;3220;Alpínské øeky a bylinná vegetace podél jejich bøehù
EVL;CZ0724089;Beskydy;Stanovištì;Sladkovodní stanovištì;3240;Alpínské øeky a jejich døevinná vegetace s vrbou šedou (Salix elaeagnos)
EVL;CZ0724089;Beskydy;Stanovištì;Tuholisté køoviny;5130;Formace jalovce obecného (Juniperus communis) na vøesovištích nebo vápnitıch trávnících
EVL;CZ0724089;Beskydy;Stanovištì;Vrchovištì, rašeliništì a moèály;7220;Petrifikující prameny s tvorbou pìnovcù (Cratoneurion)
EVL;CZ0724089;Beskydy;Stanovištì;Vrchovištì, rašeliništì a moèály;7230;Zásaditá slatiništì
EVL;CZ0213776;Bezdìèín;Druh;Ostatní savci;;sysel obecnı (Spermophilus citellus)
EVL;CZ0513657;Bílá Desná - kanál protrené pøehrady;Druh;Netopıøi;;netopır velkı (Myotis myotis)
EVL;CZ0720441;Bílé potoky;Stanovištì;Lesy;9130;Buèiny asociace Asperulo-Fagetum
EVL;CZ0720441;Bílé potoky;Stanovištì;Lesy;9170;Dubohabøiny asociace Galio-Carpinetum
EVL;CZ0720441;Bílé potoky;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6210;Polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia)
EVL;CZ0720441;Bílé potoky;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6210p;Polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia), vıznaèná nalezištì vstavaèovitıch - prioritní stanovištì
EVL;CZ0720441;Bílé potoky;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6510;Extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis)
EVL;CZ0720441;Bílé potoky;Stanovištì;Vrchovištì, rašeliništì a moèály;7220;Petrifikující prameny s tvorbou pìnovcù (Cratoneurion)
EVL;CZ0424129;Bílé stránì u Litomìøic;Druh;Cévnaté rostliny;;støevíèník pantoflíèek (Cypripedium calceolus)
EVL;CZ0424129;Bílé stránì u Litomìøic;Stanovištì;Lesy;9,10E+01;Smíšené jasanovo-olšové luní lesy temperátní a boreální Evropy (Alno-Padion, Alnion incanae, Salicion albae)
EVL;CZ0424129;Bílé stránì u Litomìøic;Druh;Motıli;;pøástevník kostivalovı (Euplagia quadripunctaria)
EVL;CZ0424129;Bílé stránì u Litomìøic;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6210;Polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia)
EVL;CZ0424129;Bílé stránì u Litomìøic;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6210p;Polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia), vıznaèná nalezištì vstavaèovitıch - prioritní stanovištì
EVL;CZ0424129;Bílé stránì u Litomìøic;Stanovištì;Skalní stanovištì a jeskynì;8230;Pionırská vegetace silikátovıch skal (Sedo-Scleranthion, Sedo albi-Veronicion dillenii)
EVL;CZ0623035;Bílı kopec u Èejèe;Druh;Brouci;;chrobák jednorohı (Bolbelasmus unicornis)
EVL;CZ0623035;Bílı kopec u Èejèe;Druh;Motıli;;pøástevník kostivalovı (Euplagia quadripunctaria)
EVL;CZ0623035;Bílı kopec u Èejèe;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6250;Panonské sprašové stepní trávníky
EVL;CZ0323144;Bonìtice;Druh;Obojivelníci;;èolek velkı (Triturus cristatus)
EVL;CZ0413174;Borecké rybníky;Druh;Obojivelníci;;èolek velkı (Triturus cristatus)
EVL;CZ0623772;Boickı mokøad;Druh;Obojivelníci;;kuòka ohnivá (Bombina bombina)
EVL;CZ0713722;Branná - hrad;Druh;Netopıøi;;vrápenec malı (Rhinolophus hipposideros)
EVL;CZ0214047;Brda;Stanovištì;Lesy;91D0;Rašelinnı les
EVL;CZ0214047;Brda;Stanovištì;Vrchovištì, rašeliništì a moèály;7140;Pøechodová rašeliništì a tøasovištì
EVL;CZ0214047;Brda;Stanovištì;Vøesovištì a køoviny mírného pásu;4030;Evropská suchá vøesovištì
EVL;CZ0423202;Bøezina;Druh;Obojivelníci;;èolek velkı (Triturus cristatus)
EVL;CZ0510405;Bukovec;Stanovištì;Lesy;9130;Buèiny asociace Asperulo-Fagetum
EVL;CZ0510405;Bukovec;Stanovištì;Lesy;9140;Støedoevropské subalpínské buèiny s javorem (Acer) a šovíkem horskım (Rumex arifolius)
EVL;CZ0510405;Bukovec;Stanovištì;Lesy;9180;Lesy svazu Tilio-Acerion na svazích, sutích a v roklích
EVL;CZ0510405;Bukovec;Stanovištì;Lesy;91D0;Rašelinnı les
EVL;CZ0510405;Bukovec;Stanovištì;Lesy;9410;Acidofilní smrèiny (Vaccinio-Piceetea)
EVL;CZ0510405;Bukovec;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6230;Druhovì bohaté smilkové louky na silikátovıch podloích v horskıch oblastech (a v kontinentální Evropì v podhorskıch oblastech)
EVL;CZ0510405;Bukovec;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6430;Vlhkomilná vysokobylinná lemová spoleèenstva níin a horského a alpínského stupnì
EVL;CZ0510405;Bukovec;Stanovištì;Vrchovištì, rašeliništì a moèály;7140;Pøechodová rašeliništì a tøasovištì
EVL;CZ0523264;Bystøice;Druh;Mìkkıši;;velevrub tupı (Unio crassus)
