ind_popis,ind_id,ind_r,ind_nadr
celkové hodnocení,10,CELKOVE_HODNOCENI,
minimální odhadovaná velikost populace,21,POP_POCETMIN,
maximální odhadovaná velikost populace,22,POP_POCETMAX,
pøítomnost druhu,27,POP_PRESENCE,
pøítomnost druhu na zimovišti,28,POP_PRESENCE_ZIM,
pøítomnost druhu v letní kolonii,29,POP_PRESENCE_LET,
rozmnožování druhu,30,POP_REPRO,
ztráty vodních biotopù,31,STA_ZTRATABIO,
nadmìrný tlak ryb,32,STA_RYBY,
manipulace s vodní hladinou,33,STA_MANIPULACE,
vysychání vodních ploch,34,STA_VYSYCHANI,
pokryvnost vodní vegetace,35,STA_POKRVEGETACE,
prùhlednost vody,36,STA_PRUHLEDNOSTVODA,
zastínìní hladiny okolní vegetací,37,STA_ZASTINENIHLADINA,
úhyn obojživelníkù,38,STA_UHYNOBOJZIVELNIK,
,39,STA_VHSTROMN,
,40,STA_VHSTROMK,
,42,STA_MIKRPROSTLINA,
,43,STA_JASANOKOLI,
,46,STA_ZAZEMNENI,
,47,STA_POKRYVNOSTDREVIN,
,61,STA_PRITOMNOSTROSTLIN,
,63,STA_HABPOKRYV,
,65,STA_LIKVIDACE,
,69,VLV_VLIVY,
vývoj poèetnosti populace,80,POP_ZMENARAD,
poèet dílèích lokalit v dobrém stavu,130,LOK_DILCDOBRE,
,130,POP_POCETPOLE1D,
poèet hodnocených dílèích lokalit,131,LOK_DILCPOCET,
,131,POP_POCETPOLE1,
,189,POP_PROCPOLE1D,
rozloha,128,,5
kvalita,129,,5
minimiareál,133,,5
okrajový efekt,135,,5
typické druhy,132,,5
mozaikovitost,134,,5
pøítomost invazních druhù,137,,5
druhy èerveného seznamu,136,,5
pøítomost expanzivních druhù,138,,5
