kod_chu,DRUH,ID_IND,KLIC,ROK,POLE,NAZEV_LOK,ID_ND_AKCE,HOD_IND,TYP_IND,LIM_IND,JEDNOTKA,LIM_INDLIST,STAV_IND,UROVEN,IND_GRP,CILMON_CHU
CZ0620009,Eriogaster catax,POP_PRESENCE,ano,"2023, 2019, 2022",7266a,"40, Valtice - Valtice, Hlohovec, NPR Lednické rybníky, Nesyt, hráz, Hlohovec, Nesyt - pod pozorovatelnou u Výtopy, Výtopa","12557821, 10613311, 10612933, 12239963, 13747441",ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,1
CZ0620009,Eriogaster catax,STA_HABPOKRYV,ne,"2023, 2019, 2022",7266a,"40, Valtice - Valtice, Hlohovec, NPR Lednické rybníky, Nesyt, hráz, Hlohovec, Nesyt - pod pozorovatelnou u Výtopy, Výtopa","12557821, 10613311, 10612933, 12239963, 13747441",,min,10,procento pokryvnosti preferovaných biotopů,alespoň 10 procento pokryvnosti preferovaných biotopů,špatný,chu,minmax,1
CZ0620009,Eriogaster catax,CELKOVE_HODNOCENI,NA,"2023, 2019, 2022",7266a,"40, Valtice - Valtice, Hlohovec, NPR Lednické rybníky, Nesyt, hráz, Hlohovec, Nesyt - pod pozorovatelnou u Výtopy, Výtopa","12557821, 10613311, 10612933, 12239963, 13747441",dobrý,NA,NA,NA,NA,dobrý,chu,NA,1
CZ0620048,Eriogaster catax,POP_PRESENCE,ano,"2022, 2023, 2024, 2018, 2020",7266a,"Skalky, PP Skalky u Sedlece, Sedlec-PP Skalky u Sedlece","12239957, 12800506, 13747440, 10389944, 11082581",ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,1
CZ0620048,Eriogaster catax,STA_HABPOKRYV,ne,"2022, 2023, 2024, 2018, 2020",7266a,"Skalky, PP Skalky u Sedlece, Sedlec-PP Skalky u Sedlece","12239957, 12800506, 13747440, 10389944, 11082581",,min,10,procento pokryvnosti preferovaných biotopů,alespoň 10 procento pokryvnosti preferovaných biotopů,špatný,chu,minmax,1
CZ0620048,Eriogaster catax,CELKOVE_HODNOCENI,NA,"2022, 2023, 2024, 2018, 2020",7266a,"Skalky, PP Skalky u Sedlece, Sedlec-PP Skalky u Sedlece","12239957, 12800506, 13747440, 10389944, 11082581",dobrý,NA,NA,NA,NA,dobrý,chu,NA,1
CZ0620162,Eriogaster catax,POP_PRESENCE,ano,"2023, 2024","7262d, 7262b","Ječmeniště, Ječmeniště - Lampelberg, PP Ječmeniště, Dyjákovičky","12755020, 12958995, 12958993, 12723079",ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,1
CZ0620162,Eriogaster catax,STA_HABPOKRYV,ne,"2023, 2024","7262d, 7262b","Ječmeniště, Ječmeniště - Lampelberg, PP Ječmeniště, Dyjákovičky","12755020, 12958995, 12958993, 12723079",,min,10,procento pokryvnosti preferovaných biotopů,alespoň 10 procento pokryvnosti preferovaných biotopů,špatný,chu,minmax,1
CZ0620162,Eriogaster catax,CELKOVE_HODNOCENI,NA,"2023, 2024","7262d, 7262b","Ječmeniště, Ječmeniště - Lampelberg, PP Ječmeniště, Dyjákovičky","12755020, 12958995, 12958993, 12723079",dobrý,NA,NA,NA,NA,dobrý,chu,NA,1
CZ0622218,Eriogaster catax,POP_PRESENCE,ano,"2015, 2023, 2022, 2024, 2020","7165c, 7165a","Dolní Dunajovice, Dunajovicke kopce, Dunajovické kopce, NPP Dunajovické kopce","9533779, 12747200, 12239968, 12800502, 13747436, 11082504",ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,1
