ID_ND_NALEZ,IDX_ND_AKCE,DRUH,CESKE_JME,AUTOR,DATUM_OD,DATUM_DO,IDX_ND_LOK,LOKALITA,KOD_LOKALITY,SKUPINA,EVL,PROC_EVL,NEGATIVNI,IDX_ND_LOKALIZACE,MAX_PROC,POLE,DATUM,DEN,MESIC,ROK,kod_chu,nazev_chu,KOD_LOKAL,CILMON,POCITANO_CLEAN,STAV_IND,ID_IND,HOD_IND,TYP_IND,LIM_IND,JEDNOTKA,KLIC,UROVEN,pozn,LIM_INDLIST,IND_GRP
23407939,8221295,Euphydryas aurinia,hnědásek chrastavcový,Tájek Přemysl,15.08.2012,15.08.2012,4991601,Rankovice - EVL Rankovický triangl,NA,Motýli,CZ0413009: Rankovický triangl,100,0,4991601,100,5943c,2012-08-15,15,8,2012,CZ0413009,Rankovický triangl,Rankovice - EVL Rankovický triangl,0,hnízda housenek,1,CELKOVE_SUM,2,NA,NA,NA,NA,NA,NA,NA,NA
23407939,8221295,Euphydryas aurinia,hnědásek chrastavcový,Tájek Přemysl,15.08.2012,15.08.2012,4991601,Rankovice - EVL Rankovický triangl,NA,Motýli,CZ0413009: Rankovický triangl,100,0,4991601,100,5943c,2012-08-15,15,8,2012,CZ0413009,Rankovický triangl,Rankovice - EVL Rankovický triangl,0,hnízda housenek,NA,CELKOVE_SUM,2,NA,NA,NA,NA,NA,NA,NA,NA
23407939,8221295,Euphydryas aurinia,hnědásek chrastavcový,Tájek Přemysl,15.08.2012,15.08.2012,4991601,Rankovice - EVL Rankovický triangl,NA,Motýli,CZ0413009: Rankovický triangl,100,0,4991601,100,5943c,2012-08-15,15,8,2012,CZ0413009,Rankovický triangl,Rankovice - EVL Rankovický triangl,0,hnízda housenek,1,POP_POCETSUMLOKAL,12,min,10,hnízda housenek,ano,lok,NA,alespoň 10 hnízda housenek,minmax
23407939,8221295,Euphydryas aurinia,hnědásek chrastavcový,Tájek Přemysl,15.08.2012,15.08.2012,4991601,Rankovice - EVL Rankovický triangl,NA,Motýli,CZ0413009: Rankovický triangl,100,0,4991601,100,5943c,2012-08-15,15,8,2012,CZ0413009,Rankovický triangl,Rankovice - EVL Rankovický triangl,0,hnízda housenek,1,POP_PRESENCE,ano,val,ano,NA,ano,lok,NA,ano,val
23407939,8221295,Euphydryas aurinia,hnědásek chrastavcový,Tájek Přemysl,15.08.2012,15.08.2012,4991601,Rankovice - EVL Rankovický triangl,NA,Motýli,CZ0413009: Rankovický triangl,100,0,4991601,100,5943c,2012-08-15,15,8,2012,CZ0413009,Rankovický triangl,Rankovice - EVL Rankovický triangl,0,hnízda housenek,NA,STA_LIKVIDACE,NA,val,nezaznamenána,NA,ne,lok,NA,nezaznamenána,val
23407939,8221295,Euphydryas aurinia,hnědásek chrastavcový,Tájek Přemysl,15.08.2012,15.08.2012,4991601,Rankovice - EVL Rankovický triangl,NA,Motýli,CZ0413009: Rankovický triangl,100,0,4991601,100,5943c,2012-08-15,15,8,2012,CZ0413009,Rankovický triangl,Rankovice - EVL Rankovický triangl,0,hnízda housenek,NA,STA_PRITOMNOSTROSTLIN,NA,val,jednotlivě,kategorie relativní početnosti,ne,lok,NA,"jednotlivě, dominantně, hojně",val
23411316,8221809,Euphydryas aurinia,hnědásek chrastavcový,Pavlíčko Alois#Vrabec Vladimír,09.08.2012,09.08.2012,4991942,"Těšetice u Bochova, louky mezi rybníky JV o.",NA,Motýli,CZ0413013: Mokřady u Těšetic,100,0,4991942,100,5844b,2012-08-09,9,8,2012,CZ0413013,Mokřady u Těšetic,"Těšetice u Bochova, louky mezi rybníky JV o.",0,hnízda housenek,1,CELKOVE_SUM,2,NA,NA,NA,NA,NA,NA,NA,NA
23411316,8221809,Euphydryas aurinia,hnědásek chrastavcový,Pavlíčko Alois#Vrabec Vladimír,09.08.2012,09.08.2012,4991942,"Těšetice u Bochova, louky mezi rybníky JV o.",NA,Motýli,CZ0413013: Mokřady u Těšetic,100,0,4991942,100,5844b,2012-08-09,9,8,2012,CZ0413013,Mokřady u Těšetic,"Těšetice u Bochova, louky mezi rybníky JV o.",0,hnízda housenek,NA,CELKOVE_SUM,2,NA,NA,NA,NA,NA,NA,NA,NA
23411316,8221809,Euphydryas aurinia,hnědásek chrastavcový,Pavlíčko Alois#Vrabec Vladimír,09.08.2012,09.08.2012,4991942,"Těšetice u Bochova, louky mezi rybníky JV o.",NA,Motýli,CZ0413013: Mokřady u Těšetic,100,0,4991942,100,5844b,2012-08-09,9,8,2012,CZ0413013,Mokřady u Těšetic,"Těšetice u Bochova, louky mezi rybníky JV o.",0,hnízda housenek,1,POP_POCETSUMLOKAL,19,min,10,hnízda housenek,ano,lok,NA,alespoň 10 hnízda housenek,minmax
23411316,8221809,Euphydryas aurinia,hnědásek chrastavcový,Pavlíčko Alois#Vrabec Vladimír,09.08.2012,09.08.2012,4991942,"Těšetice u Bochova, louky mezi rybníky JV o.",NA,Motýli,CZ0413013: Mokřady u Těšetic,100,0,4991942,100,5844b,2012-08-09,9,8,2012,CZ0413013,Mokřady u Těšetic,"Těšetice u Bochova, louky mezi rybníky JV o.",0,hnízda housenek,1,POP_PRESENCE,ano,val,ano,NA,ano,lok,NA,ano,val
