kod_chu,DRUH,HODNOCENE_OBDOBI_OD,HODNOCENE_OBDOBI_DO
CZ0210043,Osmoderma barnabita,2014-12-19,2015-10-02
CZ0212020,Lampetra planeri,2012-08-17,2012-08-17
CZ0213009,Lampetra planeri,2014-09-04,2023-11-14
CZ0213009,Osmoderma barnabita,2013-08-07,2024-07-03
CZ0213015,Osmoderma barnabita,2014-04-22,2015-05-23
CZ0213016,Lampetra planeri,2014-09-23,2014-09-23
CZ0213042,Lampetra planeri,2015-05-29,2023-10-22
CZ0213050,Lampetra planeri,2016-11-24,2025-03-26
CZ0213069,Lampetra planeri,2021-10-23,2023-09-08
CZ0213070,Osmoderma barnabita,2014-01-16,2021-07-30
CZ0213072,Osmoderma barnabita,2012-11-04,2023-04-17
CZ0213076,Lampetra planeri,2014-10-14,2023-10-22
CZ0213083,Osmoderma barnabita,2013-09-24,2022-08-13
CZ0213512,Bombina variegata,2012-04-25,2024-06-03
CZ0213783,Bombina variegata,2012-05-16,2024-08-13
CZ0213787,Bombina variegata,2012-05-15,2024-07-05
CZ0213792,Osmoderma barnabita,2012-06-28,2012-06-28
CZ0213814,Lampetra planeri,2016-07-12,2016-07-12
CZ0213817,Lampetra planeri,2020-10-25,2023-09-03
CZ0213818,Lampetra planeri,2016-08-09,2023-09-03
CZ0213822,Bombina variegata,2018-03-15,2024-07-16
CZ0214007,Osmoderma barnabita,2016-11-01,2019-12-04
CZ0214008,Lampetra planeri,2012-08-22,2024-07-11
CZ0214008,Osmoderma barnabita,2015-01-01,2020-07-29
CZ0214009,Osmoderma barnabita,2021-01-01,2021-01-01
CZ0214011,Bombina variegata,2017-07-12,2021-08-03
CZ0214013,Lampetra planeri,2014-09-23,2014-09-23
CZ0214015,Bombina variegata,2021-05-03,2024-06-29
CZ0214041,Lampetra planeri,2015-09-01,2023-09-03
CZ0214041,Osmoderma barnabita,2020-07-24,2020-07-24
CZ0310001,Osmoderma barnabita,2019-01-01,2019-01-01
CZ0310035,Lampetra planeri,2019-10-25,2019-10-25
CZ0313092,Lampetra planeri,2012-09-20,2023-10-22
CZ0313094,Osmoderma barnabita,2012-09-05,2019-01-01
CZ0313098,Osmoderma barnabita,2020-04-10,2020-04-10
CZ0313099,Osmoderma barnabita,2012-06-19,2022-06-19
CZ0313106,Osmoderma barnabita,2012-02-24,2015-04-11
CZ0313113,Osmoderma barnabita,2012-03-23,2021-09-23
CZ0313128,Osmoderma barnabita,2012-03-16,2024-07-06
CZ0313131,Osmoderma barnabita,2013-06-20,2021-12-07
CZ0313137,Lampetra planeri,2015-11-22,2023-10-08
CZ0313138,Osmoderma barnabita,2013-08-13,2020-04-19
CZ0313140,Lampetra planeri,2012-09-20,2012-09-20
CZ0313805,Lampetra planeri,2014-09-04,2022-10-26
CZ0313822,Lampetra planeri,2019-11-17,2019-11-17
CZ0314019,Osmoderma barnabita,2012-04-23,2022-07-23
CZ0314022,Lampetra planeri,2012-09-07,2024-04-24
CZ0314023,Bombina variegata,2024-04-06,2024-04-06
CZ0314023,Lampetra planeri,2012-10-24,2021-10-13
CZ0314023,Osmoderma barnabita,2012-03-16,2023-03-16
CZ0314024,Bombina variegata,2013-04-15,2014-06-13
CZ0314024,Lampetra planeri,2012-06-09,2024-12-06
CZ0314123,Bombina variegata,2012-08-17,2024-07-12
CZ0314123,Lampetra planeri,2014-10-17,2022-06-02
CZ0314124,Bombina variegata,2016-05-31,2016-05-31
CZ0314124,Lampetra planeri,2012-08-31,2024-03-25
CZ0314126,Lampetra planeri,2012-09-26,2012-09-26
CZ0314126,Osmoderma barnabita,2019-01-01,2020-07-20
CZ0314641,Lampetra planeri,2012-10-19,2024-08-12
CZ0320053,Osmoderma barnabita,2013-10-29,2013-10-29
CZ0320140,Bombina variegata,2014-04-24,2014-04-24
CZ0322055,Bombina variegata,2021-09-21,2021-09-21
