kod_chu,DRUH,KOD_LOKAL,POLE,HODNOCENE_OBDOBI_OD,HODNOCENE_OBDOBI_DO
CZ0210043,Osmoderma barnabita,CZ0210043,6150d,2014-12-19,2015-10-02
CZ0213009,Osmoderma barnabita,5734,6255c,2013-08-07,2015-08-19
CZ0213009,Osmoderma barnabita,CZ0213009,6255c,2015-01-22,2024-07-03
CZ0213015,Osmoderma barnabita,CZ0213015,6251a,2014-04-22,2015-05-23
CZ0213070,Osmoderma barnabita,CZ0213070,5750b,2014-01-16,2014-01-16
CZ0213070,Osmoderma barnabita,CZ0213070,5750c,2014-01-16,2021-07-30
CZ0213072,Osmoderma barnabita,CZ0213072,5850a,2012-11-04,2023-04-17
CZ0213083,Osmoderma barnabita,CZ0213083,5751b,2013-09-24,2021-07-30
CZ0213083,Osmoderma barnabita,CZ0213083,5752a,2015-05-18,2022-08-13
CZ0213512,Bombina variegata,CZ0213512,6049a,2012-04-25,2022-05-14
CZ0213512,Bombina variegata,amp12,6049a,2019-05-27,2024-06-03
CZ0213783,Bombina variegata,CZ0213783,6149d,2012-05-16,2024-08-13
CZ0213787,Bombina variegata,CZ0213787,6249a,2012-05-15,2024-07-05
CZ0213792,Osmoderma barnabita,CZ0213792,6057b,2012-06-28,2012-06-28
CZ0213792,Osmoderma barnabita,CZ0213792,6058a,2012-06-28,2012-06-28
CZ0213822,Bombina variegata,CZ0213822,6048b,2018-03-15,2024-07-16
CZ0214007,Osmoderma barnabita,CZ0214007,5854b,2016-11-01,2019-12-04
CZ0214008,Osmoderma barnabita,CZ0214008,5849c,2015-01-01,2018-07-07
CZ0214008,Osmoderma barnabita,CZ0214008,5849d,2015-01-01,2020-07-29
CZ0214008,Osmoderma barnabita,CZ0214008,5949b,2015-06-01,2015-06-01
CZ0214009,Osmoderma barnabita,BROUCI165,5856d,2021-01-01,2021-01-01
CZ0214009,Osmoderma barnabita,BROUCI166,5856d,2021-01-01,2021-01-01
CZ0214011,Bombina variegata,CZ0214011,6048b,2017-07-12,2021-08-03
CZ0214015,Bombina variegata,CZ0214015,5949d,2021-05-03,2021-05-03
CZ0214015,Bombina variegata,CZ0214015_1,5949d,2023-07-17,2023-09-28
CZ0214015,Bombina variegata,CZ0214015_10,5949d,2023-06-17,2024-06-29
CZ0214015,Bombina variegata,CZ0214015_11,5949d,2023-09-28,2024-06-29
CZ0214015,Bombina variegata,CZ0214015_2,5949d,2023-06-17,2024-04-30
CZ0214015,Bombina variegata,CZ0214015_3,5949d,2023-06-17,2024-04-30
CZ0214015,Bombina variegata,CZ0214015_4,5949d,2023-06-17,2024-06-29
CZ0214015,Bombina variegata,CZ0214015_5,5949d,2023-06-17,2024-06-29
CZ0214015,Bombina variegata,CZ0214015_6,5949d,2023-06-17,2024-06-29
CZ0214015,Bombina variegata,CZ0214015_7,5949d,2023-06-17,2024-06-29
CZ0214015,Bombina variegata,CZ0214015_8,5949d,2023-06-17,2024-06-29
CZ0214015,Bombina variegata,CZ0214015_9,5949d,2023-06-17,2024-06-29
CZ0214041,Osmoderma barnabita,CZ0214041,6448b,2020-07-24,2020-07-24
CZ0310001,Osmoderma barnabita,599,6955d,2019-01-01,2019-01-01
CZ0313094,Osmoderma barnabita,5867,6549c,2019-01-01,2019-01-01
