kod_chu,DRUH,POSLEDNI_NALEZ
CZ0114001,Cottus gobio,2023-08-17
CZ0210172,Misgurnus fossilis,2013-10-24
CZ0212006,Cottus gobio,2022-06-22
CZ0212020,Cottus gobio,2012-08-17
CZ0212020,Lampetra planeri,2012-08-17
CZ0213009,Cottus gobio,2023-10-16
CZ0213009,Lampetra planeri,2023-11-14
CZ0213009,Rhodeus amarus,2014-10-11
CZ0213016,Cottus gobio,2014-09-23
CZ0213016,Lampetra planeri,2014-09-23
CZ0213039,Rhodeus amarus,2022-09-22
CZ0213042,Cottus gobio,2016-11-11
CZ0213042,Lampetra planeri,2023-10-22
CZ0213048,Rhodeus amarus,2023-08-29
CZ0213050,Lampetra planeri,2025-03-26
CZ0213067,Cottus gobio,2016-10-01
CZ0213067,Rhodeus amarus,2016-10-01
CZ0213068,Rhodeus amarus,2023-09-06
CZ0213069,Lampetra planeri,2023-09-08
CZ0213069,Misgurnus fossilis,2023-09-07
CZ0213076,Cottus gobio,2015-09-01
CZ0213076,Lampetra planeri,2023-10-22
CZ0213076,Rhodeus amarus,2019-06-20
CZ0213814,Cottus gobio,2023-09-03
CZ0213814,Lampetra planeri,2016-07-12
CZ0213817,Lampetra planeri,2023-09-03
CZ0213818,Lampetra planeri,2023-09-03
CZ0214007,Misgurnus fossilis,2014-09-16
CZ0214008,Cottus gobio,2024-07-11
CZ0214008,Lampetra planeri,2024-07-11
CZ0214009,Rhodeus amarus,2012-07-23
CZ0214011,Cottus gobio,2022-11-05
CZ0214013,Cobitis elongatoides,2024-12-04
CZ0214013,Cottus gobio,2014-09-23
CZ0214013,Lampetra planeri,2014-09-23
CZ0214013,Misgurnus fossilis,2023-09-10
CZ0214013,Rhodeus amarus,2024-12-04
CZ0214017,Cottus gobio,2023-08-17
CZ0214017,Rhodeus amarus,2012-09-14
CZ0214039,Cottus gobio,2022-11-24
CZ0214041,Cottus gobio,2018-10-05
CZ0214041,Lampetra planeri,2023-09-03
CZ0214042,Cottus gobio,2020-06-17
CZ0214045,Misgurnus fossilis,2015-03-21
CZ0214050,Misgurnus fossilis,2021-10-15
CZ0214050,Rhodeus amarus,2023-08-19
CZ0310010,Misgurnus fossilis,2024-09-11
CZ0310035,Cottus gobio,2019-10-25
CZ0310035,Lampetra planeri,2019-10-25
CZ0310163,Cottus gobio,2015-08-24
CZ0313092,Lampetra planeri,2023-10-22
CZ0313101,Cobitis elongatoides,2019-11-01
CZ0313101,Rhodeus amarus,2013-05-19
CZ0313106,Cottus gobio,2015-08-17
CZ0313106,Misgurnus fossilis,2023-08-08
CZ0313110,Rhodeus amarus,2023-08-21
CZ0313110,Romanogobio vladykovi,2012-07-15
CZ0313123,Misgurnus fossilis,2019-09-28
CZ0313128,Misgurnus fossilis,2024-07-05
CZ0313137,Lampetra planeri,2023-10-08
CZ0313140,Cottus gobio,2022-11-12
CZ0313140,Lampetra planeri,2012-09-20
CZ0313805,Cottus gobio,2024-11-18
CZ0313805,Lampetra planeri,2022-10-26
CZ0313822,Lampetra planeri,2019-11-17
CZ0314019,Cobitis elongatoides,2019-09-07
CZ0314019,Misgurnus fossilis,2022-11-15
CZ0314022,Cottus gobio,2024-04-24
CZ0314022,Lampetra planeri,2024-04-24
CZ0314023,Cobitis elongatoides,2023-08-16
CZ0314023,Cottus gobio,2019-09-22
CZ0314023,Lampetra planeri,2021-10-13
CZ0314023,Misgurnus fossilis,2023-08-16
CZ0314024,Cottus gobio,2024-12-06
CZ0314024,Lampetra planeri,2024-12-06
CZ0314123,Cottus gobio,2023-10-13
CZ0314123,Lampetra planeri,2022-06-02
CZ0314124,Cottus gobio,2024-03-25
CZ0314124,Lampetra planeri,2024-03-25
CZ0314126,Cottus gobio,2012-09-26
CZ0314126,Lampetra planeri,2012-09-26
CZ0314641,Cottus gobio,2024-08-12
CZ0314641,Lampetra planeri,2024-08-12
CZ0320053,Cottus gobio,2023-09-02
CZ0320180,Cottus gobio,2023-06-28
CZ0323142,Rhodeus amarus,2014-10-08
CZ0323145,Cottus gobio,2020-06-18
CZ0323145,Lampetra planeri,2016-07-08
CZ0323151,Cottus gobio,2023-06-29
CZ0323151,Lampetra planeri,2020-11-16
CZ0323159,Cottus gobio,2013-09-10
CZ0323165,Cottus gobio,2018-10-03
CZ0323165,Lampetra planeri,2024-10-22
CZ0323166,Cottus gobio,2023-06-29
CZ0323166,Lampetra planeri,2022-05-04
CZ0323812,Cottus gobio,2022-11-11
CZ0323812,Lampetra planeri,2023-10-09
CZ0323824,Cottus gobio,2019-09-23
CZ0323824,Lampetra planeri,2023-10-27
CZ0323825,Cottus gobio,2018-11-01
CZ0323825,Lampetra planeri,2021-11-16
CZ0324025,Cottus gobio,2015-11-17
CZ0324025,Lampetra planeri,2015-11-17
CZ0324026,Cottus gobio,2016-09-23
CZ0324026,Lampetra planeri,2022-09-24
CZ0410020,Lampetra planeri,2021-06-05
CZ0410020,Misgurnus fossilis,2017-10-19
CZ0410413,Cottus gobio,2021-05-18
CZ0413177,Cottus gobio,2013-10-04
CZ0413177,Lampetra planeri,2023-08-16
CZ0413191,Cottus gobio,2021-10-12
CZ0413194,Cottus gobio,2015-09-21
CZ0413194,Lampetra planeri,2023-08-11
CZ0413195,Cottus gobio,2023-08-13
CZ0414110,Cottus gobio,2015-09-01
CZ0414110,Lampetra planeri,2015-09-01
CZ0414127,Cottus gobio,2021-05-28
CZ0414127,Lampetra planeri,2015-09-01
CZ0414127,Salmo salar,2023-11-12
CZ0420035,Rhodeus amarus,2014-09-04
CZ0420083,Cottus gobio,2022-08-18
CZ0420144,Cottus gobio,2015-09-01
CZ0420144,Lampetra planeri,2015-09-01
CZ0420528,Cottus gobio,2024-08-24
CZ0423507,Cottus gobio,2024-11-06
CZ0423507,Salmo salar,2024-11-06
CZ0423510,Cottus gobio,2024-07-21
CZ0423510,Lampetra planeri,2015-09-01
CZ0423510,Rhodeus amarus,2012-09-21
CZ0423510,Salmo salar,2013-03-18
CZ0424030,Cottus gobio,2015-09-01
CZ0424030,Lampetra planeri,2015-09-01
CZ0424031,Cottus gobio,2023-07-13
CZ0424031,Lampetra planeri,2024-04-27
CZ0424031,Rhodeus amarus,2021-07-19
CZ0424031,Salmo salar,2023-10-28
CZ0424111,Rhodeus amarus,2014-10-22
CZ0424111,Salmo salar,2020-12-13
CZ0424125,Cottus gobio,2023-09-07
CZ0424125,Salmo salar,2023-10-29
CZ0424127,Cottus gobio,2015-09-01
CZ0424127,Lampetra planeri,2015-09-01
CZ0424141,Cottus gobio,2021-09-08
CZ0424141,Rhodeus amarus,2022-10-29
CZ0510191,Cottus gobio,2024-07-04
CZ0510191,Lampetra planeri,2015-10-23
CZ0510400,Lampetra planeri,2014-09-26
CZ0510402,Lampetra planeri,2014-09-26
CZ0510415,Lampetra planeri,2014-10-04
CZ0510441,Cottus gobio,2021-08-12
CZ0513251,Cottus gobio,2023-09-09
CZ0513254,Lampetra planeri,2023-08-13
CZ0513256,Cottus gobio,2023-11-10
CZ0513256,Lampetra planeri,2023-09-09
CZ0513505,Cottus gobio,2022-10-26
CZ0513505,Salmo salar,2023-10-22
CZ0513506,Cottus gobio,2023-08-31
CZ0513506,Lampetra planeri,2016-06-21
CZ0513506,Salmo salar,2023-10-15
CZ0513509,Cottus gobio,2022-10-25
CZ0513509,Lampetra planeri,2023-11-02
CZ0514042,Cottus gobio,2023-10-11
CZ0514113,Cobitis elongatoides,2022-10-28
CZ0514670,Cottus gobio,2023-08-31
CZ0514672,Cottus gobio,2023-09-24
CZ0514672,Lampetra planeri,2022-10-29
CZ0520028,Cottus gobio,2020-09-18
CZ0520028,Lampetra planeri,2020-09-18
CZ0520519,Cottus gobio,2023-07-12
CZ0520603,Cottus gobio,2023-07-27
CZ0520604,Cottus gobio,2023-10-24
CZ0520604,Lampetra planeri,2024-09-11
CZ0523007,Cottus gobio,2023-10-17
CZ0523007,Lampetra planeri,2023-10-17
CZ0523267,Cottus gobio,2023-10-23
CZ0523267,Lampetra planeri,2021-09-21
CZ0523277,Cottus gobio,2023-09-24
CZ0523277,Lampetra planeri,2015-09-03
CZ0523280,Cottus gobio,2022-10-25
CZ0523280,Lampetra planeri,2023-09-16
CZ0523823,Cottus gobio,2023-09-21
CZ0524044,Cottus gobio,2024-11-05
CZ0524044,Lampetra planeri,2018-10-09
CZ0524047,Cottus gobio,2015-09-16
CZ0524049,Cottus gobio,2020-08-28
CZ0524049,Misgurnus fossilis,2014-10-31
CZ0524049,Rhodeus amarus,2024-10-23
CZ0530033,Cottus gobio,2013-09-23
CZ0530033,Lampetra planeri,2013-09-23
CZ0530034,Cottus gobio,2013-09-23
CZ0530034,Lampetra planeri,2013-09-23
CZ0533012,Cobitis elongatoides,2023-05-23
CZ0533301,Cottus gobio,2022-08-05
CZ0533301,Lampetra planeri,2023-10-15
CZ0533303,Cobitis elongatoides,2013-09-06
CZ0533303,Cottus gobio,2022-10-05
CZ0533308,Cobitis elongatoides,2024-05-15
CZ0533308,Rhodeus amarus,2016-11-01
CZ0533314,Cottus gobio,2023-10-03
CZ0533314,Lampetra planeri,2023-10-02
CZ0533698,Cobitis elongatoides,2024-08-29
CZ0534053,Cottus gobio,2023-10-15
CZ0534053,Lampetra planeri,2018-10-17
CZ0534053,Rhodeus amarus,2022-08-01
