kod_chu,DRUH,KOD_LOKAL,POLE,POSLEDNI_NALEZ
CZ0210043,Osmoderma barnabita,CZ0210043,6150d,2015-10-02
CZ0212020,Lampetra planeri,CZ0212020,5555a,2012-08-17
CZ0213009,Lampetra planeri,CZ0213009,6355a,2014-09-04
CZ0213009,Lampetra planeri,Polánecký potok,6355a,2023-11-14
CZ0213009,Lampetra planeri,Vlašimská Blanice,6355a,2023-08-15
CZ0213009,Lampetra planeri,Vlašimská Blanice,6355c,2023-08-15
CZ0213009,Lampetra planeri,Vlašimská Blanice,6454d,2023-08-15
CZ0213009,Lampetra planeri,Vlašmská Blanice,6454d,2022-08-30
CZ0213009,Lampetra planeri,Vlašímská Blanice,6355c,2022-08-30
CZ0213009,Osmoderma barnabita,5734,6255c,2015-08-19
CZ0213009,Osmoderma barnabita,CZ0213009,6255c,2024-07-03
CZ0213015,Osmoderma barnabita,CZ0213015,6251a,2015-05-23
CZ0213016,Lampetra planeri,CZ0213016,5851a,2014-09-23
CZ0213016,Lampetra planeri,CZ0213016,5851c,2014-09-23
CZ0213042,Lampetra planeri,CZ0213042,6256a,2016-11-11
CZ0213042,Lampetra planeri,LOP_002_Losinský potok,6256a,2023-10-22
CZ0213050,Lampetra planeri,CZ0213050,6249b,2025-03-26
CZ0213069,Lampetra planeri,SEP_001_Sedlečský potok,6354d,2022-09-09
CZ0213069,Lampetra planeri,Sedlečský potok,6354b,2023-09-07
CZ0213069,Lampetra planeri,Sedlečský potok,6354d,2023-09-08
CZ0213070,Osmoderma barnabita,CZ0213070,5750b,2014-01-16
CZ0213070,Osmoderma barnabita,CZ0213070,5750c,2021-07-30
CZ0213072,Osmoderma barnabita,CZ0213072,5850a,2023-04-17
CZ0213076,Lampetra planeri,CZ0213076,6256a,2015-09-01
CZ0213076,Lampetra planeri,CZ0213076,6256c,2022-10-13
CZ0213076,Lampetra planeri,STP_001_Štěpánovský potok,6256a,2023-10-22
CZ0213076,Lampetra planeri,STP_002_Štěpánovský potok,6256c,2023-10-22
CZ0213076,Lampetra planeri,STP_003_Štěpánovský potok,6256c,2023-10-22
CZ0213076,Lampetra planeri,Štěpánovský potok,6256a,2019-06-19
CZ0213083,Osmoderma barnabita,CZ0213083,5751b,2021-07-30
CZ0213083,Osmoderma barnabita,CZ0213083,5752a,2022-08-13
CZ0213512,Bombina variegata,CZ0213512,6049a,2022-05-14
CZ0213512,Bombina variegata,amp12,6049a,2024-06-03
CZ0213783,Bombina variegata,CZ0213783,6149d,2024-08-13
CZ0213787,Bombina variegata,CZ0213787,6249a,2024-07-05
CZ0213792,Osmoderma barnabita,CZ0213792,6057b,2012-06-28
CZ0213792,Osmoderma barnabita,CZ0213792,6058a,2012-06-28
CZ0213814,Lampetra planeri,CZ0213814,6248c,2016-07-12
CZ0213817,Lampetra planeri,OBP_001_Obecnický potok,6249d,2023-09-03
CZ0213817,Lampetra planeri,OBP_002 _Obecnický potok,6249d,2023-09-03
CZ0213818,Lampetra planeri,CZ0213818,6249d,2016-08-09
