kod_chu,DRUH,POLE,POSLEDNI_NALEZ
CZ0210043,Osmoderma barnabita,6150d,2015-10-02
CZ0210111,Pulsatilla patens,5555a,2024-04-04
CZ0212020,Lampetra planeri,5555a,2012-08-17
CZ0213009,Lampetra planeri,6355a,2023-11-14
CZ0213009,Lampetra planeri,6355c,2023-08-15
CZ0213009,Lampetra planeri,6454d,2023-08-15
CZ0213009,Osmoderma barnabita,6255c,2024-07-03
CZ0213015,Osmoderma barnabita,6251a,2015-05-23
CZ0213016,Lampetra planeri,5851a,2014-09-23
CZ0213016,Lampetra planeri,5851c,2014-09-23
CZ0213042,Lampetra planeri,6256a,2023-10-22
CZ0213050,Lampetra planeri,6249b,2025-03-26
CZ0213069,Lampetra planeri,6354b,2023-09-07
CZ0213069,Lampetra planeri,6354d,2023-09-08
CZ0213070,Osmoderma barnabita,5750b,2014-01-16
CZ0213070,Osmoderma barnabita,5750c,2021-07-30
CZ0213072,Osmoderma barnabita,5850a,2023-04-17
CZ0213076,Lampetra planeri,6256a,2023-10-22
CZ0213076,Lampetra planeri,6256c,2023-10-22
CZ0213083,Osmoderma barnabita,5751b,2021-07-30
CZ0213083,Osmoderma barnabita,5752a,2022-08-13
CZ0213512,Bombina variegata,6049a,2024-06-03
CZ0213783,Bombina variegata,6149d,2024-08-13
CZ0213787,Bombina variegata,6249a,2024-07-05
CZ0213792,Osmoderma barnabita,6057b,2012-06-28
CZ0213792,Osmoderma barnabita,6058a,2012-06-28
CZ0213814,Lampetra planeri,6248c,2016-07-12
CZ0213817,Lampetra planeri,6249d,2023-09-03
CZ0213818,Lampetra planeri,6249d,2023-09-03
CZ0213822,Bombina variegata,6048b,2024-07-16
CZ0214007,Osmoderma barnabita,5854b,2019-12-04
CZ0214008,Lampetra planeri,5849c,2024-07-11
CZ0214008,Lampetra planeri,5949a,2024-07-11
CZ0214008,Osmoderma barnabita,5849c,2018-07-07
CZ0214008,Osmoderma barnabita,5849d,2020-07-29
CZ0214008,Osmoderma barnabita,5949b,2015-06-01
CZ0214009,Osmoderma barnabita,5856d,2021-01-01
CZ0214011,Bombina variegata,6048b,2021-08-03
CZ0214013,Lampetra planeri,5653c,2014-09-23
CZ0214015,Bombina variegata,5949d,2024-06-29
CZ0214041,Lampetra planeri,6348d,2023-09-03
CZ0214041,Lampetra planeri,6448b,2016-06-05
CZ0214041,Osmoderma barnabita,6448b,2020-07-24
CZ0310001,Osmoderma barnabita,6955d,2019-01-01
CZ0310035,Lampetra planeri,7251b,2019-10-25
CZ0310035,Lampetra planeri,7251d,2019-10-25
CZ0310035,Lampetra planeri,7352a,2019-10-25
CZ0313092,Lampetra planeri,7254a,2023-10-22
CZ0313092,Lampetra planeri,7254c,2012-09-20
CZ0313094,Osmoderma barnabita,6549c,2019-01-01
CZ0313098,Osmoderma barnabita,6854c,2020-04-10
CZ0313099,Osmoderma barnabita,6952b,2019-01-01
CZ0313099,Osmoderma barnabita,6952c,2021-08-04
CZ0313099,Osmoderma barnabita,6952d,2022-06-19
CZ0313106,Osmoderma barnabita,6754c,2012-02-24
CZ0313106,Osmoderma barnabita,6854d,2012-03-16
CZ0313106,Osmoderma barnabita,6955a,2015-04-11
CZ0313113,Osmoderma barnabita,7154d,2015-07-21
CZ0313113,Osmoderma barnabita,7254b,2021-09-23
CZ0313128,Osmoderma barnabita,6854c,2015-01-01
CZ0313128,Osmoderma barnabita,6854d,2024-07-06
CZ0313131,Osmoderma barnabita,6954d,2021-12-07
CZ0313131,Osmoderma barnabita,7054b,2021-12-03
CZ0313137,Lampetra planeri,7254b,2023-10-08
CZ0313138,Osmoderma barnabita,6952d,2020-04-19
CZ0313140,Lampetra planeri,6448d,2012-09-20
CZ0313805,Lampetra planeri,6949d,2022-10-26
CZ0313822,Lampetra planeri,6956c,2019-11-17
CZ0314019,Osmoderma barnabita,6954a,2022-07-23
CZ0314022,Lampetra planeri,7252d,2024-04-24
CZ0314022,Lampetra planeri,7253c,2012-09-07
CZ0314022,Lampetra planeri,7352b,2024-04-24
CZ0314022,Lampetra planeri,7352d,2024-04-24
CZ0314022,Lampetra planeri,7353c,2024-04-24
CZ0314022,Lampetra planeri,7353d,2012-09-07
CZ0314023,Bombina variegata,7055a,2024-04-06
CZ0314023,Lampetra planeri,6954d,2021-10-13
CZ0314023,Lampetra planeri,7055a,2019-10-06
CZ0314023,Lampetra planeri,7055c,2021-09-20
CZ0314023,Lampetra planeri,7155a,2021-10-13
CZ0314023,Lampetra planeri,7155d,2019-09-21
CZ0314023,Osmoderma barnabita,6954b,2021-06-15
CZ0314023,Osmoderma barnabita,6954d,2015-07-23
CZ0314023,Osmoderma barnabita,6955c,2023-03-16
CZ0314023,Osmoderma barnabita,7055a,2015-03-31
CZ0314024,Bombina variegata,6744b,2014-06-13
CZ0314024,Lampetra planeri,6744a,2023-09-04
CZ0314024,Lampetra planeri,6744b,2023-09-04
CZ0314024,Lampetra planeri,6744d,2023-09-04
CZ0314024,Lampetra planeri,6745a,2023-09-06
CZ0314024,Lampetra planeri,6745b,2022-10-18
CZ0314024,Lampetra planeri,6745c,2023-09-06
CZ0314024,Lampetra planeri,6745d,2023-09-12
CZ0314024,Lampetra planeri,6746a,2022-10-18
CZ0314024,Lampetra planeri,6746d,2023-09-06
CZ0314024,Lampetra planeri,6747c,2015-05-03
CZ0314024,Lampetra planeri,6845a,2021-10-27
CZ0314024,Lampetra planeri,6845b,2021-09-19
CZ0314024,Lampetra planeri,6845c,2021-10-27
CZ0314024,Lampetra planeri,6845d,2021-10-27
CZ0314024,Lampetra planeri,6846a,2022-08-19
CZ0314024,Lampetra planeri,6846b,2023-09-07
CZ0314024,Lampetra planeri,6846c,2021-09-19
CZ0314024,Lampetra planeri,6846d,2021-09-19
CZ0314024,Lampetra planeri,6847a,2020-09-28
CZ0314024,Lampetra planeri,6847c,2023-09-12
CZ0314024,Lampetra planeri,6946b,2021-09-18
CZ0314024,Lampetra planeri,6947b,2020-10-28
CZ0314024,Lampetra planeri,6947d,2023-09-14
CZ0314024,Lampetra planeri,6948a,2020-10-28
CZ0314024,Lampetra planeri,6948c,2021-10-27
CZ0314024,Lampetra planeri,6948d,2021-10-27
CZ0314024,Lampetra planeri,6949c,2023-09-22
CZ0314024,Lampetra planeri,6949d,2024-12-06
CZ0314024,Lampetra planeri,7047b,2024-07-03
CZ0314024,Lampetra planeri,7048a,2023-09-18
CZ0314024,Lampetra planeri,7048c,2024-01-18
CZ0314024,Lampetra planeri,7048d,2024-05-06
CZ0314024,Lampetra planeri,7049a,2023-10-13
CZ0314024,Lampetra planeri,7049b,2024-04-13
CZ0314024,Lampetra planeri,7049d,2023-09-27
CZ0314024,Lampetra planeri,7050c,2023-10-13
CZ0314024,Lampetra planeri,7050d,2023-10-03
CZ0314024,Lampetra planeri,7148b,2023-06-04
CZ0314024,Lampetra planeri,7148d,2024-06-21
CZ0314024,Lampetra planeri,7149a,2024-06-20
CZ0314024,Lampetra planeri,7149b,2023-09-27
CZ0314024,Lampetra planeri,7149d,2023-10-04
CZ0314024,Lampetra planeri,7249b,2020-10-28
CZ0314024,Lampetra planeri,7249d,2023-10-05
CZ0314024,Lampetra planeri,7250a,2020-10-29
CZ0314024,Lampetra planeri,7250c,2023-10-06
CZ0314024,Lampetra planeri,7250d,2012-06-25
CZ0314024,Lampetra planeri,7350a,2023-10-05
CZ0314024,Lampetra planeri,7350b,2020-10-30
CZ0314024,Lampetra planeri,7350c,2021-10-29
CZ0314024,Lampetra planeri,7350d,2021-10-29
CZ0314024,Lampetra planeri,7450b,2021-10-29
CZ0314024,Lampetra planeri,7451a,2021-10-29
CZ0314123,Bombina variegata,7150b,2024-07-12
CZ0314123,Bombina variegata,7151c,2024-07-12
CZ0314123,Lampetra planeri,7149d,2022-06-02
CZ0314123,Lampetra planeri,7151a,2014-10-17
CZ0314124,Bombina variegata,7151d,2016-05-31
CZ0314124,Lampetra planeri,7050d,2022-10-28
CZ0314124,Lampetra planeri,7051c,2023-10-28
CZ0314124,Lampetra planeri,7051d,2023-10-28
CZ0314124,Lampetra planeri,7052c,2023-10-29
CZ0314124,Lampetra planeri,7151a,2023-10-28
CZ0314124,Lampetra planeri,7151c,2023-10-28
CZ0314124,Lampetra planeri,7151d,2023-10-28
CZ0314124,Lampetra planeri,7152a,2024-03-25
CZ0314124,Lampetra planeri,7152c,2023-10-28
CZ0314126,Lampetra planeri,6953a,2012-09-26
CZ0314126,Osmoderma barnabita,6852d,2019-01-01
CZ0314126,Osmoderma barnabita,6952b,2020-07-20
CZ0314641,Lampetra planeri,6950c,2022-09-09
CZ0314641,Lampetra planeri,7050a,2024-08-12
CZ0320053,Osmoderma barnabita,6048d,2013-10-29
CZ0320140,Bombina variegata,6447c,2014-04-24
CZ0322055,Bombina variegata,6442d,2021-09-21
CZ0323143,Bombina variegata,6447a,2024-06-08
CZ0323145,Lampetra planeri,6347d,2016-07-07
CZ0323145,Lampetra planeri,6348c,2016-07-08
CZ0323151,Lampetra planeri,6341b,2020-11-16
CZ0323155,Osmoderma barnabita,6347a,2023-06-19
CZ0323159,Osmoderma barnabita,6246b,2013-11-06
CZ0323160,Bombina variegata,6443b,2024-06-07
CZ0323162,Bombina variegata,6445b,2024-07-14
CZ0323165,Lampetra planeri,6442b,2024-10-22
CZ0323165,Lampetra planeri,6443a,2024-10-22
CZ0323165,Lampetra planeri,6443c,2022-09-24
CZ0323166,Lampetra planeri,6441b,2015-10-25
CZ0323166,Lampetra planeri,6442c,2022-05-04
CZ0323167,Bombina variegata,6247c,2024-06-25
CZ0323167,Bombina variegata,6247d,2024-06-25
CZ0323169,Bombina variegata,6243b,2024-07-24
CZ0323478,Bombina variegata,6545b,2019-09-10
CZ0323478,Bombina variegata,6546a,2024-07-14
CZ0323812,Lampetra planeri,6248c,2023-10-09
CZ0323824,Lampetra planeri,6746a,2023-10-27
CZ0323824,Lampetra planeri,6746b,2020-09-27
CZ0323824,Lampetra planeri,6747a,2020-09-27
CZ0323825,Lampetra planeri,6143b,2021-11-16
CZ0323826,Bombina variegata,6345b,2024-07-24
CZ0324025,Lampetra planeri,6046d,2015-11-17
CZ0324026,Lampetra planeri,6542a,2022-09-24
CZ0324026,Lampetra planeri,6542c,2022-09-24
CZ0410020,Lampetra planeri,5841c,2021-06-05
CZ0413177,Lampetra planeri,5638d,2023-08-16
CZ0413177,Lampetra planeri,5738b,2023-08-13
CZ0413190,Osmoderma barnabita,5743b,2018-10-03
CZ0413194,Lampetra planeri,5945a,2015-09-21
CZ0413194,Lampetra planeri,5945b,2023-08-11
CZ0414110,Lampetra planeri,5542d,2015-09-01
CZ0414127,Lampetra planeri,5745a,2015-09-01
CZ0414127,Pulsatilla patens,5644d,2023-05-01
CZ0414127,Pulsatilla patens,5645c,2023-05-01
CZ0420021,Osmoderma barnabita,5545c,2015-10-01
CZ0420144,Lampetra planeri,5445a,2015-09-01
CZ0422075,Pulsatilla patens,5449d,2024-04-29
CZ0423202,Osmoderma barnabita,5449c,2021-05-23
CZ0423210,Osmoderma barnabita,5349c,2025-03-02
CZ0423213,Osmoderma barnabita,5546b,2025-03-02
CZ0423217,Osmoderma barnabita,5746a,2014-03-20
CZ0423217,Osmoderma barnabita,5746c,2014-11-13
CZ0423223,Osmoderma barnabita,5846d,2022-08-06
CZ0423224,Osmoderma barnabita,5451a,2022-11-28
CZ0423233,Osmoderma barnabita,5548d,2020-04-29
CZ0423510,Lampetra planeri,5647c,2015-09-01
CZ0423510,Lampetra planeri,5648a,2015-09-01
CZ0423510,Lampetra planeri,5648b,2015-09-01
CZ0424030,Lampetra planeri,5445d,2015-09-01
CZ0424030,Lampetra planeri,5546a,2015-09-01
CZ0424030,Pulsatilla patens,5546a,2023-04-16
CZ0424031,Lampetra planeri,5052c,2023-10-07
CZ0424031,Lampetra planeri,5052d,2012-11-01
CZ0424031,Lampetra planeri,5151b,2020-07-24
CZ0424031,Lampetra planeri,5152a,2024-04-27
CZ0424031,Lampetra planeri,5152b,2020-10-17
CZ0424031,Lampetra planeri,5152c,2023-10-07
CZ0424031,Lampetra planeri,5152d,2014-04-13
CZ0424038,Pulsatilla patens,5450b,2024-04-16
CZ0424125,Bombina variegata,5845b,2024-04-15
CZ0424125,Pulsatilla patens,5645c,2024-04-09
CZ0424125,Pulsatilla patens,5645d,2024-04-30
CZ0424127,Lampetra planeri,5446d,2015-09-01
CZ0424127,Osmoderma barnabita,5446d,2014-09-28
CZ0424127,Osmoderma barnabita,5447a,2021-10-10
CZ0424138,Osmoderma barnabita,5550d,2018-10-26
CZ0510191,Lampetra planeri,5357c,2015-10-23
CZ0510400,Lampetra planeri,5156b,2014-09-26
