kod_chu,DRUH,ID_IND,KLIC,ROK,POLE,NAZEV_LOK,ID_ND_AKCE,HOD_IND,TYP_IND,LIM_IND,JEDNOTKA,LIM_INDLIST,STAV_IND,UROVEN,IND_GRP,CILMON_CHU
CZ0212020,Lampetra planeri,LOK_PROCDOBR,ne,2012,5555a,"Bělá - Nová Ves_NPP Rečkov-P9, Rokytka - NPP Rečkov-P8","8535594, 8535592",,min,50,% lokalit v dobrém stavu,alespoň 50 % lokalit v dobrém stavu,špatný,chu,minmax,0
CZ0212020,Lampetra planeri,CELKOVE_HODNOCENI,NA,2012,5555a,"Bělá - Nová Ves_NPP Rečkov-P9, Rokytka - NPP Rečkov-P8","8535594, 8535592",dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0213009,Lampetra planeri,LOK_PROCDOBR,ne,"2014, 2023, 2022","6355a, 6355a,6355c,6454d, 6454d, 6355c","Polánecký potok I - Polánka_ústí, Polánecký potok I - Polánka_ústí do Blanice, Polánecký potok - Polánka_ústí do Blanice, Častrovický potok - Dub_u brodu, Pravětický potok - Smršťov, Bořkovický potok - Smršťov_ústí do Blanice, Vlašimská Blanice - Šelmberk u silničního mostku, Vlašmská Blanice - Šelmberk, Vlašímská Blanice - Louňovice p. Blaníkem_nad","10598176, 13411700, 13411676, 13411677, 13411678, 13411679, 13411680, 13411079, 13411078",,min,50,% lokalit v dobrém stavu,alespoň 50 % lokalit v dobrém stavu,špatný,chu,minmax,1
CZ0213009,Lampetra planeri,CELKOVE_HODNOCENI,NA,"2014, 2023, 2022","6355a, 6355a,6355c,6454d, 6454d, 6355c","Polánecký potok I - Polánka_ústí, Polánecký potok I - Polánka_ústí do Blanice, Polánecký potok - Polánka_ústí do Blanice, Častrovický potok - Dub_u brodu, Pravětický potok - Smršťov, Bořkovický potok - Smršťov_ústí do Blanice, Vlašimská Blanice - Šelmberk u silničního mostku, Vlašmská Blanice - Šelmberk, Vlašímská Blanice - Louňovice p. Blaníkem_nad","10598176, 13411700, 13411676, 13411677, 13411678, 13411679, 13411680, 13411079, 13411078",dobrý,NA,NA,NA,NA,dobrý,chu,NA,1
CZ0213016,Lampetra planeri,LOK_PROCDOBR,ne,2014,"5851a,5851c","Zákolanský potok - Kováry, Zákolanský potok - Velké Číčovice, Dolanský potok - Běloky","9159269, 9159270, 9159271",,min,50,% lokalit v dobrém stavu,alespoň 50 % lokalit v dobrém stavu,špatný,chu,minmax,0
CZ0213016,Lampetra planeri,CELKOVE_HODNOCENI,NA,2014,"5851a,5851c","Zákolanský potok - Kováry, Zákolanský potok - Velké Číčovice, Dolanský potok - Běloky","9159269, 9159270, 9159271",dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0213042,Lampetra planeri,LOK_PROCDOBR,ne,"2016, 2023",6256a,"Losinský potok - Chobotský Mlýn, Losinský potok – Zderadinky","10598167, 13411468",,min,50,% lokalit v dobrém stavu,alespoň 50 % lokalit v dobrém stavu,špatný,chu,minmax,1
CZ0213042,Lampetra planeri,CELKOVE_HODNOCENI,NA,"2016, 2023",6256a,"Losinský potok - Chobotský Mlýn, Losinský potok – Zderadinky","10598167, 13411468",dobrý,NA,NA,NA,NA,dobrý,chu,NA,1
CZ0213050,Lampetra planeri,LOK_PROCDOBR,ne,2025,6249b,Mlýnský rybník Velcí,14074577,,min,50,% lokalit v dobrém stavu,alespoň 50 % lokalit v dobrém stavu,špatný,chu,minmax,0
CZ0213050,Lampetra planeri,CELKOVE_HODNOCENI,NA,2025,6249b,Mlýnský rybník Velcí,14074577,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
