"SITECODE";"NAZEV";"HABITAT_CODE";"DATE_MIN";"DATE_MAX";"PAR_NAZEV";"PAR_HODNOTA";"ROK_HODNOCENI"
"CZ0210173";"Slaná louka u Újezdce";"1340";"18873";"18873";"ROZLOHA";"1.006";2024
"CZ0210173";"Slaná louka u Újezdce";"1340";"18873";"18873";"KVALITA";"2.363";2024
"CZ0210173";"Slaná louka u Újezdce";"1340";"18873";"18873";"TYPICKE_DRUHY";"2.182";2024
"CZ0210173";"Slaná louka u Újezdce";"1340";"18873";"18873";"REPRE";"0.818";2024
"CZ0210173";"Slaná louka u Újezdce";"1340";"18873";"18873";"REPRE_SDF";"3.182";2024
"CZ0210173";"Slaná louka u Újezdce";"1340";"18873";"18873";"CONSERVATION";"2.182";2024
"CZ0210173";"Slaná louka u Újezdce";"1340";"18873";"18873";"DEGREE_OF_CONSERVATION";"81.842";2024
"CZ0210173";"Slaná louka u Újezdce";"1340";"18873";"18873";"MRTVE_DREVO";NA;2024
"CZ0210173";"Slaná louka u Újezdce";"1340";"18873";"18873";"KALAMITA_POLOM";NA;2024
"CZ0210173";"Slaná louka u Újezdce";"1340";"18873";"18873";"RELATIVE_AREA_PERC";"0";2024
"CZ0210173";"Slaná louka u Újezdce";"1340";"18873";"18873";"EVL_AREA_PERC";"75.515";2024
"CZ0210173";"Slaná louka u Újezdce";"1340";"18873";"18873";"GOOD_DOC_AREA_HA";"0.823";2024
"CZ0210173";"Slaná louka u Újezdce";"1340";"18873";"18873";"W_AREA_HA";"0.183";2024
"CZ0210173";"Slaná louka u Újezdce";"1340";"18873";"18873";"W_AREA_PERC";"18.158";2024
"CZ0210173";"Slaná louka u Újezdce";"1340";"18873";"18873";"PASEKY_AREA_HA";NA;2024
"CZ0210173";"Slaná louka u Újezdce";"1340";"18873";"18873";"PASEKY_AREA_PERC";NA;2024
"CZ0210173";"Slaná louka u Újezdce";"1340";"18873";"18873";"DEGRAD_AREA_HA";"0.183";2024
"CZ0210173";"Slaná louka u Újezdce";"1340";"18873";"18873";"DEGRAD_AREA_PERC";"18.158";2024
"CZ0210173";"Slaná louka u Újezdce";"1340";"18873";"18873";"PERC_0";"0";2024
"CZ0210173";"Slaná louka u Újezdce";"1340";"18873";"18873";"PERC_1";"0";2024
"CZ0210173";"Slaná louka u Újezdce";"1340";"18873";"18873";"PERC_2";"100";2024
"CZ0410150";"Soos";"1340";"16235";"16317";"ROZLOHA";"7.084";2024
"CZ0410150";"Soos";"1340";"16235";"16317";"KVALITA";"2.035";2024
"CZ0410150";"Soos";"1340";"16235";"16317";"TYPICKE_DRUHY";"2.577";2024
"CZ0410150";"Soos";"1340";"16235";"16317";"REPRE";"1.847";2024
"CZ0410150";"Soos";"1340";"16235";"16317";"REPRE_SDF";"2.577";2024
"CZ0410150";"Soos";"1340";"16235";"16317";"CONSERVATION";"2.111";2024
"CZ0410150";"Soos";"1340";"16235";"16317";"DEGREE_OF_CONSERVATION";"88.9";2024
"CZ0410150";"Soos";"1340";"16235";"16317";"MRTVE_DREVO";NA;2024
"CZ0410150";"Soos";"1340";"16235";"16317";"KALAMITA_POLOM";NA;2024
"CZ0410150";"Soos";"1340";"16235";"16317";"RELATIVE_AREA_PERC";"0";2024
"CZ0410150";"Soos";"1340";"16235";"16317";"EVL_AREA_PERC";"1.544";2024
"CZ0410150";"Soos";"1340";"16235";"16317";"GOOD_DOC_AREA_HA";"6.298";2024
