typ_predmetu_hodnoceni;kod_chu;nazev_chu;druh;feature_code;hodnocene_obdobi_od;hodnocene_obdobi_do;oop;parametr_nazev;parametr_hodnota;parametr_limit;parametr_jednotka;stav;trend;datum_hodnoceni;pracoviste;metodika
Druh;CZ0313115;Boukal;Bombina bombina;1188;2022-05-04;2024-07-13;Krajský úřad Jihočeského kraje;27;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP Jižní Čechy;19269
Druh;CZ0313115;Boukal;Bombina bombina;1188;2022-05-04;2024-07-13;Krajský úřad Jihočeského kraje;21;22;NA;volající samci;nehodnocen;neznámý;2025-04-10;RP Jižní Čechy;19269
Druh;CZ0313115;Boukal;Bombina bombina;1188;2022-05-04;2024-07-13;Krajský úřad Jihočeského kraje;22;100;NA;volající samci;nehodnocen;neznámý;2025-04-10;RP Jižní Čechy;19269
Druh;CZ0313115;Boukal;Bombina bombina;1188;2022-05-04;2024-07-13;Krajský úřad Jihočeského kraje;80;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP Jižní Čechy;19269
Druh;CZ0313115;Boukal;Bombina bombina;1188;2022-05-04;2024-07-13;Krajský úřad Jihočeského kraje;30;NA;50;% lokalit v dobrém stavu;neznámý;neznámý;2025-04-10;RP Jižní Čechy;19269
Druh;CZ0313115;Boukal;Bombina bombina;1188;2022-05-04;2024-07-13;Krajský úřad Jihočeského kraje;31;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP Jižní Čechy;19269
Druh;CZ0313115;Boukal;Bombina bombina;1188;2022-05-04;2024-07-13;Krajský úřad Jihočeského kraje;32;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP Jižní Čechy;19269
Druh;CZ0313115;Boukal;Bombina bombina;1188;2022-05-04;2024-07-13;Krajský úřad Jihočeského kraje;33;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP Jižní Čechy;19269
Druh;CZ0313115;Boukal;Bombina bombina;1188;2022-05-04;2024-07-13;Krajský úřad Jihočeského kraje;34;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP Jižní Čechy;19269
Druh;CZ0313115;Boukal;Bombina bombina;1188;2022-05-04;2024-07-13;Krajský úřad Jihočeského kraje;36;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP Jižní Čechy;19269
