typ_predmetu_hodnoceni;kod_chu;nazev_chu;druh;feature_code;hodnocene_obdobi_od;hodnocene_obdobi_do;oop;parametr_nazev;parametr_hodnota;parametr_limit;parametr_jednotka;stav;trend;datum_hodnoceni;pracoviste;ind_nadr;metodika
Druh;CZ0524044;Krkonoše;Campanula bohemica;NA;1990-01-01;2024-08-08;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;LOK_PROCDOBR;2.663;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-18;RP Liberecko;NA;15087
Druh;CZ0524044;Krkonoše;Campanula bohemica;NA;1990-01-01;2024-08-08;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;POP_PROCDOB;40.945;50;% populace v dobrém stavu;špatný;neznámý;2026-01-18;RP Liberecko;NA;15087
Druh;CZ0524044;Krkonoše;Campanula bohemica;NA;1990-01-01;2024-08-08;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;10;špatný;NA;NA;špatný;neznámý;2026-01-18;RP Liberecko;NA;15087
Druh;CZ0712186;Hrdibořické rybníky;Angelica palustris;NA;2000-08-14;2024-04-24;AOPK ČR - RP Olomoucko;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-18;RP Olomoucko;NA;15087
Druh;CZ0712186;Hrdibořické rybníky;Angelica palustris;NA;2000-08-14;2024-04-24;AOPK ČR - RP Olomoucko;POP_PROCDOB;0;50;% populace v dobrém stavu;špatný;neznámý;2026-01-18;RP Olomoucko;NA;15087
Druh;CZ0712186;Hrdibořické rybníky;Angelica palustris;NA;2000-08-14;2024-04-24;AOPK ČR - RP Olomoucko;10;špatný;NA;NA;špatný;neznámý;2026-01-18;RP Olomoucko;NA;15087
Druh;CZ0322055;Drahotínský les;Asplenium adulterinum;NA;2001-01-01;2024-07-03;Krajský úřad Plzeňského kraje;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-18;RP SCHKO Český les;NA;15087
Druh;CZ0322055;Drahotínský les;Asplenium adulterinum;NA;2001-01-01;2024-07-03;Krajský úřad Plzeňského kraje;POP_PROCDOB;0;50;% populace v dobrém stavu;špatný;neznámý;2026-01-18;RP SCHKO Český les;NA;15087
Druh;CZ0322055;Drahotínský les;Asplenium adulterinum;NA;2001-01-01;2024-07-03;Krajský úřad Plzeňského kraje;10;špatný;NA;NA;špatný;neznámý;2026-01-18;RP SCHKO Český les;NA;15087
Druh;CZ0412065;Medvědí rozhledy;Asplenium adulterinum;NA;2000-01-01;2018-10-25;AOPK ČR - RP SCHKO Slavkovský les;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-18;RP SCHKO Slavkovský les;NA;15087
Druh;CZ0412065;Medvědí rozhledy;Asplenium adulterinum;NA;2000-01-01;2018-10-25;AOPK ČR - RP SCHKO Slavkovský les;POP_PROCDOB;0;50;% populace v dobrém stavu;špatný;neznámý;2026-01-18;RP SCHKO Slavkovský les;NA;15087
Druh;CZ0412065;Medvědí rozhledy;Asplenium adulterinum;NA;2000-01-01;2018-10-25;AOPK ČR - RP SCHKO Slavkovský les;10;špatný;NA;NA;špatný;neznámý;2026-01-18;RP SCHKO Slavkovský les;NA;15087
Druh;CZ0412069;Pramenské pastviny;Asplenium adulterinum;NA;2000-01-01;2018-11-14;AOPK ČR - RP SCHKO Slavkovský les;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-18;RP SCHKO Slavkovský les;NA;15087
Druh;CZ0412069;Pramenské pastviny;Asplenium adulterinum;NA;2000-01-01;2018-11-14;AOPK ČR - RP SCHKO Slavkovský les;POP_PROCDOB;0;50;% populace v dobrém stavu;špatný;neznámý;2026-01-18;RP SCHKO Slavkovský les;NA;15087
Druh;CZ0412069;Pramenské pastviny;Asplenium adulterinum;NA;2000-01-01;2018-11-14;AOPK ČR - RP SCHKO Slavkovský les;10;špatný;NA;NA;špatný;neznámý;2026-01-18;RP SCHKO Slavkovský les;NA;15087
Druh;CZ0412070;Raušenbašská lada;Asplenium adulterinum;NA;2000-01-01;2022-12-01;AOPK ČR - RP SCHKO Slavkovský les;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-18;RP SCHKO Slavkovský les;NA;15087
Druh;CZ0412070;Raušenbašská lada;Asplenium adulterinum;NA;2000-01-01;2022-12-01;AOPK ČR - RP SCHKO Slavkovský les;POP_PROCDOB;0;50;% populace v dobrém stavu;špatný;neznámý;2026-01-18;RP SCHKO Slavkovský les;NA;15087
Druh;CZ0412070;Raušenbašská lada;Asplenium adulterinum;NA;2000-01-01;2022-12-01;AOPK ČR - RP SCHKO Slavkovský les;10;špatný;NA;NA;špatný;neznámý;2026-01-18;RP SCHKO Slavkovský les;NA;15087
Druh;CZ0412071;Skalka pod Tisovým vrchem;Asplenium adulterinum;NA;2001-05-27;2018-06-14;AOPK ČR - RP SCHKO Slavkovský les;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-18;RP SCHKO Slavkovský les;NA;15087
Druh;CZ0412071;Skalka pod Tisovým vrchem;Asplenium adulterinum;NA;2001-05-27;2018-06-14;AOPK ČR - RP SCHKO Slavkovský les;POP_PROCDOB;0;50;% populace v dobrém stavu;špatný;neznámý;2026-01-18;RP SCHKO Slavkovský les;NA;15087
Druh;CZ0412071;Skalka pod Tisovým vrchem;Asplenium adulterinum;NA;2001-05-27;2018-06-14;AOPK ČR - RP SCHKO Slavkovský les;10;špatný;NA;NA;špatný;neznámý;2026-01-18;RP SCHKO Slavkovský les;NA;15087
Druh;CZ0414026;Úpolínová louka - Křížky;Asplenium adulterinum;NA;2000-01-01;2024-05-25;AOPK ČR - RP SCHKO Slavkovský les;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-18;RP SCHKO Slavkovský les;NA;15087
Druh;CZ0414026;Úpolínová louka - Křížky;Asplenium adulterinum;NA;2000-01-01;2024-05-25;AOPK ČR - RP SCHKO Slavkovský les;POP_PROCDOB;0;50;% populace v dobrém stavu;špatný;neznámý;2026-01-18;RP SCHKO Slavkovský les;NA;15087
Druh;CZ0414026;Úpolínová louka - Křížky;Asplenium adulterinum;NA;2000-01-01;2024-05-25;AOPK ČR - RP SCHKO Slavkovský les;10;špatný;NA;NA;špatný;neznámý;2026-01-18;RP SCHKO Slavkovský les;NA;15087
Druh;CZ0622142;Rojetínský hadec;Asplenium adulterinum;NA;2002-07-01;2024-06-12;Krajský úřad Jihomoravského kraje;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-18;RP Jižní Morava;NA;15087
Druh;CZ0622142;Rojetínský hadec;Asplenium adulterinum;NA;2002-07-01;2024-06-12;Krajský úřad Jihomoravského kraje;POP_PROCDOB;0;50;% populace v dobrém stavu;špatný;neznámý;2026-01-18;RP Jižní Morava;NA;15087
Druh;CZ0622142;Rojetínský hadec;Asplenium adulterinum;NA;2002-07-01;2024-06-12;Krajský úřad Jihomoravského kraje;10;špatný;NA;NA;špatný;neznámý;2026-01-18;RP Jižní Morava;NA;15087
Druh;CZ0712187;Chrastický hadec;Asplenium adulterinum;NA;2000-01-01;2022-04-10;Krajský úřad Olomouckého kraje;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-18;RP Olomoucko;NA;15087
Druh;CZ0712187;Chrastický hadec;Asplenium adulterinum;NA;2000-01-01;2022-04-10;Krajský úřad Olomouckého kraje;POP_PROCDOB;0;50;% populace v dobrém stavu;špatný;neznámý;2026-01-18;RP Olomoucko;NA;15087
Druh;CZ0712187;Chrastický hadec;Asplenium adulterinum;NA;2000-01-01;2022-04-10;Krajský úřad Olomouckého kraje;10;špatný;NA;NA;špatný;neznámý;2026-01-18;RP Olomoucko;NA;15087
Druh;CZ0712197;Žďár;Asplenium adulterinum;NA;2006-01-01;2024-10-16;Krajský úřad Olomouckého kraje;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-18;RP Olomoucko;NA;15087
Druh;CZ0712197;Žďár;Asplenium adulterinum;NA;2006-01-01;2024-10-16;Krajský úřad Olomouckého kraje;POP_PROCDOB;0;50;% populace v dobrém stavu;špatný;neznámý;2026-01-18;RP Olomoucko;NA;15087
Druh;CZ0712197;Žďár;Asplenium adulterinum;NA;2006-01-01;2024-10-16;Krajský úřad Olomouckého kraje;10;špatný;NA;NA;špatný;neznámý;2026-01-18;RP Olomoucko;NA;15087
Druh;CZ0714084;Hadce a bučiny u Raškova;Asplenium adulterinum;NA;2000-01-01;2024-10-14;Krajský úřad Olomouckého kraje;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-18;RP Olomoucko;NA;15087
Druh;CZ0714084;Hadce a bučiny u Raškova;Asplenium adulterinum;NA;2000-01-01;2024-10-14;Krajský úřad Olomouckého kraje;POP_PROCDOB;0;50;% populace v dobrém stavu;špatný;neznámý;2026-01-18;RP Olomoucko;NA;15087
Druh;CZ0714084;Hadce a bučiny u Raškova;Asplenium adulterinum;NA;2000-01-01;2024-10-14;Krajský úřad Olomouckého kraje;10;špatný;NA;NA;špatný;neznámý;2026-01-18;RP Olomoucko;NA;15087
Druh;CZ0212004;Malíkovická stráň;Cypripedium calceolus;NA;2006-05-29;2024-06-07;Krajský úřad Středočeského kraje;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-18;RP Střední Čechy;NA;15087
Druh;CZ0212004;Malíkovická stráň;Cypripedium calceolus;NA;2006-05-29;2024-06-07;Krajský úřad Středočeského kraje;POP_PROCDOB;0;50;% populace v dobrém stavu;špatný;neznámý;2026-01-18;RP Střední Čechy;NA;15087
Druh;CZ0212004;Malíkovická stráň;Cypripedium calceolus;NA;2006-05-29;2024-06-07;Krajský úřad Středočeského kraje;10;špatný;NA;NA;špatný;neznámý;2026-01-18;RP Střední Čechy;NA;15087
Druh;CZ0212019;Smradovna;Cypripedium calceolus;NA;2001-06-01;2024-05-19;AOPK ČR - RP Střední Čechy, Krajský úřad Středočeského kraje;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-18;RP Střední Čechy;NA;15087
Druh;CZ0212019;Smradovna;Cypripedium calceolus;NA;2001-06-01;2024-05-19;AOPK ČR - RP Střední Čechy, Krajský úřad Středočeského kraje;POP_PROCDOB;0;50;% populace v dobrém stavu;špatný;neznámý;2026-01-18;RP Střední Čechy;NA;15087
Druh;CZ0212019;Smradovna;Cypripedium calceolus;NA;2001-06-01;2024-05-19;AOPK ČR - RP Střední Čechy, Krajský úřad Středočeského kraje;10;špatný;NA;NA;špatný;neznámý;2026-01-18;RP Střední Čechy;NA;15087
Druh;CZ0212022;Slepeč;Cypripedium calceolus;NA;2000-01-01;2023-06-13;Krajský úřad Středočeského kraje;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-18;RP SCHKO Kokořínsko - Máchův kraj;NA;15087
Druh;CZ0212022;Slepeč;Cypripedium calceolus;NA;2000-01-01;2023-06-13;Krajský úřad Středočeského kraje;POP_PROCDOB;0;50;% populace v dobrém stavu;špatný;neznámý;2026-01-18;RP SCHKO Kokořínsko - Máchův kraj;NA;15087
Druh;CZ0212022;Slepeč;Cypripedium calceolus;NA;2000-01-01;2023-06-13;Krajský úřad Středočeského kraje;10;špatný;NA;NA;špatný;neznámý;2026-01-18;RP SCHKO Kokořínsko - Máchův kraj;NA;15087
Druh;CZ0212024;Červené dolíky;Cypripedium calceolus;NA;2000-01-01;2023-07-19;Krajský úřad Středočeského kraje, AOPK ČR - RP Střední Čechy;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-18;RP Střední Čechy;NA;15087
Druh;CZ0212024;Červené dolíky;Cypripedium calceolus;NA;2000-01-01;2023-07-19;Krajský úřad Středočeského kraje, AOPK ČR - RP Střední Čechy;POP_PROCDOB;0;50;% populace v dobrém stavu;špatný;neznámý;2026-01-18;RP Střední Čechy;NA;15087
Druh;CZ0212024;Červené dolíky;Cypripedium calceolus;NA;2000-01-01;2023-07-19;Krajský úřad Středočeského kraje, AOPK ČR - RP Střední Čechy;10;špatný;NA;NA;špatný;neznámý;2026-01-18;RP Střední Čechy;NA;15087
Druh;CZ0212025;Ostrov u Jedomělic;Cypripedium calceolus;NA;2012-05-24;2023-07-19;Krajský úřad Středočeského kraje;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-18;RP Střední Čechy;NA;15087
Druh;CZ0212025;Ostrov u Jedomělic;Cypripedium calceolus;NA;2012-05-24;2023-07-19;Krajský úřad Středočeského kraje;POP_PROCDOB;0;50;% populace v dobrém stavu;špatný;neznámý;2026-01-18;RP Střední Čechy;NA;15087
Druh;CZ0212025;Ostrov u Jedomělic;Cypripedium calceolus;NA;2012-05-24;2023-07-19;Krajský úřad Středočeského kraje;10;špatný;NA;NA;špatný;neznámý;2026-01-18;RP Střední Čechy;NA;15087
Druh;CZ0214010;Dománovický les;Cypripedium calceolus;NA;2000-01-01;2024-05-23;Krajský úřad Středočeského kraje;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-18;RP Střední Čechy;NA;15087
Druh;CZ0214010;Dománovický les;Cypripedium calceolus;NA;2000-01-01;2024-05-23;Krajský úřad Středočeského kraje;POP_PROCDOB;0;50;% populace v dobrém stavu;špatný;neznámý;2026-01-18;RP Střední Čechy;NA;15087
Druh;CZ0214010;Dománovický les;Cypripedium calceolus;NA;2000-01-01;2024-05-23;Krajský úřad Středočeského kraje;10;špatný;NA;NA;špatný;neznámý;2026-01-18;RP Střední Čechy;NA;15087
Druh;CZ0214013;Kokořínsko;Cypripedium calceolus;NA;2002-01-01;2024-06-07;AOPK ČR - RP SCHKO Kokořínsko - Máchův kraj, Krajský úřad Středočeského kraje;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-18;RP SCHKO Kokořínsko - Máchův kraj;NA;15087
Druh;CZ0214013;Kokořínsko;Cypripedium calceolus;NA;2002-01-01;2024-06-07;AOPK ČR - RP SCHKO Kokořínsko - Máchův kraj, Krajský úřad Středočeského kraje;POP_PROCDOB;0;50;% populace v dobrém stavu;špatný;neznámý;2026-01-18;RP SCHKO Kokořínsko - Máchův kraj;NA;15087
Druh;CZ0214013;Kokořínsko;Cypripedium calceolus;NA;2002-01-01;2024-06-07;AOPK ČR - RP SCHKO Kokořínsko - Máchův kraj, Krajský úřad Středočeského kraje;10;špatný;NA;NA;špatný;neznámý;2026-01-18;RP SCHKO Kokořínsko - Máchův kraj;NA;15087
Druh;CZ0422085;Soběchlebské terasy;Cypripedium calceolus;NA;2001-01-01;2022-06-02;Krajský úřad Ústeckého kraje;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-18;RP SCHKO Slavkovský les;NA;15087
Druh;CZ0422085;Soběchlebské terasy;Cypripedium calceolus;NA;2001-01-01;2022-06-02;Krajský úřad Ústeckého kraje;POP_PROCDOB;0;50;% populace v dobrém stavu;špatný;neznámý;2026-01-18;RP SCHKO Slavkovský les;NA;15087
Druh;CZ0422085;Soběchlebské terasy;Cypripedium calceolus;NA;2001-01-01;2022-06-02;Krajský úřad Ústeckého kraje;10;špatný;NA;NA;špatný;neznámý;2026-01-18;RP SCHKO Slavkovský les;NA;15087
Druh;CZ0422087;V kuksu;Cypripedium calceolus;NA;2008-07-26;2022-05-25;Krajský úřad Ústeckého kraje;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-18;RP SCHKO České středohoří;NA;15087
Druh;CZ0422087;V kuksu;Cypripedium calceolus;NA;2008-07-26;2022-05-25;Krajský úřad Ústeckého kraje;POP_PROCDOB;0;50;% populace v dobrém stavu;špatný;neznámý;2026-01-18;RP SCHKO České středohoří;NA;15087
Druh;CZ0422087;V kuksu;Cypripedium calceolus;NA;2008-07-26;2022-05-25;Krajský úřad Ústeckého kraje;10;špatný;NA;NA;špatný;neznámý;2026-01-18;RP SCHKO České středohoří;NA;15087
Druh;CZ0424129;Bílé stráně u Litoměřic;Cypripedium calceolus;NA;2001-03-20;2024-05-21;AOPK ČR - RP SCHKO České středohoří;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-18;RP SCHKO České středohoří;NA;15087
Druh;CZ0424129;Bílé stráně u Litoměřic;Cypripedium calceolus;NA;2001-03-20;2024-05-21;AOPK ČR - RP SCHKO České středohoří;POP_PROCDOB;0;50;% populace v dobrém stavu;špatný;neznámý;2026-01-18;RP SCHKO České středohoří;NA;15087
Druh;CZ0424129;Bílé stráně u Litoměřic;Cypripedium calceolus;NA;2001-03-20;2024-05-21;AOPK ČR - RP SCHKO České středohoří;10;špatný;NA;NA;špatný;neznámý;2026-01-18;RP SCHKO České středohoří;NA;15087
Druh;CZ0522002;Hustířanský les;Cypripedium calceolus;NA;2006-05-30;2022-05-19;Krajský úřad Královéhradeckého kraje;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-18;RP Východní Čechy;NA;15087
Druh;CZ0522002;Hustířanský les;Cypripedium calceolus;NA;2006-05-30;2022-05-19;Krajský úřad Královéhradeckého kraje;POP_PROCDOB;0;50;% populace v dobrém stavu;špatný;neznámý;2026-01-18;RP Východní Čechy;NA;15087
Druh;CZ0522002;Hustířanský les;Cypripedium calceolus;NA;2006-05-30;2022-05-19;Krajský úřad Královéhradeckého kraje;10;špatný;NA;NA;špatný;neznámý;2026-01-18;RP Východní Čechy;NA;15087
Druh;CZ0522129;Zadní Machová;Cypripedium calceolus;NA;2000-01-01;2024-05-14;Krajský úřad Královéhradeckého kraje;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-18;RP Východní Čechy;NA;15087
Druh;CZ0522129;Zadní Machová;Cypripedium calceolus;NA;2000-01-01;2024-05-14;Krajský úřad Královéhradeckého kraje;POP_PROCDOB;0;50;% populace v dobrém stavu;špatný;neznámý;2026-01-18;RP Východní Čechy;NA;15087
Druh;CZ0522129;Zadní Machová;Cypripedium calceolus;NA;2000-01-01;2024-05-14;Krajský úřad Královéhradeckého kraje;10;špatný;NA;NA;špatný;neznámý;2026-01-18;RP Východní Čechy;NA;15087
Druh;CZ0524050;Halín;Cypripedium calceolus;NA;2000-01-01;2024-05-14;Krajský úřad Královéhradeckého kraje;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-18;RP Východní Čechy;NA;15087
Druh;CZ0524050;Halín;Cypripedium calceolus;NA;2000-01-01;2024-05-14;Krajský úřad Královéhradeckého kraje;POP_PROCDOB;0;50;% populace v dobrém stavu;špatný;neznámý;2026-01-18;RP Východní Čechy;NA;15087
Druh;CZ0524050;Halín;Cypripedium calceolus;NA;2000-01-01;2024-05-14;Krajský úřad Královéhradeckého kraje;10;špatný;NA;NA;špatný;neznámý;2026-01-18;RP Východní Čechy;NA;15087
Druh;CZ0532131;U Banínského viaduktu;Cypripedium calceolus;NA;2000-01-01;2024-05-22;Krajský úřad Pardubického kraje;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-18;RP Východní Čechy;NA;15087
Druh;CZ0532131;U Banínského viaduktu;Cypripedium calceolus;NA;2000-01-01;2024-05-22;Krajský úřad Pardubického kraje;POP_PROCDOB;0;50;% populace v dobrém stavu;špatný;neznámý;2026-01-18;RP Východní Čechy;NA;15087
Druh;CZ0532131;U Banínského viaduktu;Cypripedium calceolus;NA;2000-01-01;2024-05-22;Krajský úřad Pardubického kraje;10;špatný;NA;NA;špatný;neznámý;2026-01-18;RP Východní Čechy;NA;15087
Druh;CZ0532132;Střemošická stráň;Cypripedium calceolus;NA;2000-01-01;2023-05-07;Krajský úřad Pardubického kraje;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-18;RP Východní Čechy;NA;15087
Druh;CZ0532132;Střemošická stráň;Cypripedium calceolus;NA;2000-01-01;2023-05-07;Krajský úřad Pardubického kraje;POP_PROCDOB;0;50;% populace v dobrém stavu;špatný;neznámý;2026-01-18;RP Východní Čechy;NA;15087
Druh;CZ0532132;Střemošická stráň;Cypripedium calceolus;NA;2000-01-01;2023-05-07;Krajský úřad Pardubického kraje;10;špatný;NA;NA;špatný;neznámý;2026-01-18;RP Východní Čechy;NA;15087
Druh;CZ0612133;Dědkovo;Cypripedium calceolus;NA;2001-01-01;2024-05-21;Krajský úřad Kraje Vysočina;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-18;RP Vysočina;NA;15087
Druh;CZ0612133;Dědkovo;Cypripedium calceolus;NA;2001-01-01;2024-05-21;Krajský úřad Kraje Vysočina;POP_PROCDOB;0;50;% populace v dobrém stavu;špatný;neznámý;2026-01-18;RP Vysočina;NA;15087
Druh;CZ0612133;Dědkovo;Cypripedium calceolus;NA;2001-01-01;2024-05-21;Krajský úřad Kraje Vysočina;10;špatný;NA;NA;špatný;neznámý;2026-01-18;RP Vysočina;NA;15087
Druh;CZ0622168;Mušenice;Cypripedium calceolus;NA;2001-01-01;2024-04-29;Krajský úřad Jihomoravského kraje;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-18;RP Jižní Morava;NA;15087
Druh;CZ0622168;Mušenice;Cypripedium calceolus;NA;2001-01-01;2024-04-29;Krajský úřad Jihomoravského kraje;POP_PROCDOB;0;50;% populace v dobrém stavu;špatný;neznámý;2026-01-18;RP Jižní Morava;NA;15087
Druh;CZ0622168;Mušenice;Cypripedium calceolus;NA;2001-01-01;2024-04-29;Krajský úřad Jihomoravského kraje;10;špatný;NA;NA;špatný;neznámý;2026-01-18;RP Jižní Morava;NA;15087
Druh;CZ0622174;V Jezdinách;Cypripedium calceolus;NA;2001-01-01;2024-05-02;Krajský úřad Jihomoravského kraje;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-18;RP Jižní Morava;NA;15087
Druh;CZ0622174;V Jezdinách;Cypripedium calceolus;NA;2001-01-01;2024-05-02;Krajský úřad Jihomoravského kraje;POP_PROCDOB;0;50;% populace v dobrém stavu;špatný;neznámý;2026-01-18;RP Jižní Morava;NA;15087
Druh;CZ0622174;V Jezdinách;Cypripedium calceolus;NA;2001-01-01;2024-05-02;Krajský úřad Jihomoravského kraje;10;špatný;NA;NA;špatný;neznámý;2026-01-18;RP Jižní Morava;NA;15087
Druh;CZ0624069;Strabišov - Oulehla;Cypripedium calceolus;NA;2000-01-01;2024-05-27;AOPK ČR - RP SCHKO Bílé Karpaty, Krajský úřad Jihomoravského kraje, Krajský úřad Zlínského kraje;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-18;RP Jižní Morava;NA;15087
Druh;CZ0624069;Strabišov - Oulehla;Cypripedium calceolus;NA;2000-01-01;2024-05-27;AOPK ČR - RP SCHKO Bílé Karpaty, Krajský úřad Jihomoravského kraje, Krajský úřad Zlínského kraje;POP_PROCDOB;0;50;% populace v dobrém stavu;špatný;neznámý;2026-01-18;RP Jižní Morava;NA;15087
Druh;CZ0624069;Strabišov - Oulehla;Cypripedium calceolus;NA;2000-01-01;2024-05-27;AOPK ČR - RP SCHKO Bílé Karpaty, Krajský úřad Jihomoravského kraje, Krajský úřad Zlínského kraje;10;špatný;NA;NA;špatný;neznámý;2026-01-18;RP Jižní Morava;NA;15087
Druh;CZ0624072;Čertoryje;Cypripedium calceolus;NA;2000-01-01;2024-08-08;AOPK ČR - RP SCHKO Bílé Karpaty;LOK_PROCDOBR;0;50;% lokalit v dobrém stavu;špatný;neznámý;2026-01-18;RP SCHKO Bílé Karpaty;NA;15087
