"kod_chu","DRUH","KOD_LOKAL","POLE","ROK","ID_IND","SKUPINA","NAZEV_LOK","ID_ND_AKCE","DATUM","HOD_IND","TYP_IND","LIM_IND","JEDNOTKA","LIM_INDLIST","STAV_IND","KLIC","IND_GRP","UROVEN","CILMON","IND_SUM","IND_SUMKLIC","IND_SUMOST","IND_LEN","IND_LENKLIC","IND_LENOST","CELKOVE","NAZEV","HODNOCENE_OBDOBI_OD","HODNOCENE_OBDOBI_DO","pracoviste","oop"
"CZ0624099","Limoniscus violaceus","CZ0624099","7267a","2015","CELKOVE_HODNOCENI","Brouci","Bøeclav_1219","10012471","2015-01-01","zhoršenı",NA,NA,NA,NA,0.5,NA,NA,NA,"0","1","1","0",3,1,2,0.5,"Niva Dyje",2015-01-01,2015-01-01,"RP Jiní Morava","AOPK ÈR - RP Jiní Morava, Krajskı úøad Jihomoravského kraje"
"CZ0624099","Limoniscus violaceus","CZ0624099","7267a","2015","POP_PRESENCE","Brouci","Bøeclav_1219","10012471","2015-01-01","ano","val","ano",NA,"ano",1,"ano","val","lok","0","1","1","0",3,1,2,0.5,"Niva Dyje",2015-01-01,2015-01-01,"RP Jiní Morava","AOPK ÈR - RP Jiní Morava, Krajskı úøad Jihomoravského kraje"
"CZ0624099","Limoniscus violaceus","CZ0624099","7267a","2015","STA_VHSTROMK","Brouci","Bøeclav_1219","10012471","2015-01-01","neznámı","val","ano",NA,"ano",NA,"ne","val","lok","0","1","1","0",3,1,2,0.5,"Niva Dyje",2015-01-01,2015-01-01,"RP Jiní Morava","AOPK ÈR - RP Jiní Morava, Krajskı úøad Jihomoravského kraje"
"CZ0624099","Limoniscus violaceus","CZ0624099","7267a","2015","STA_VHSTROMN","Brouci","Bøeclav_1219","10012471","2015-01-01","neznámı","val","ano",NA,"ano",NA,"ne","val","lok","0","1","1","0",3,1,2,0.5,"Niva Dyje",2015-01-01,2015-01-01,"RP Jiní Morava","AOPK ÈR - RP Jiní Morava, Krajskı úøad Jihomoravského kraje"
"CZ0624119","Lucanus cervus","CZ0624119","7367a","2014","CELKOVE_HODNOCENI","Brouci","Bøeclav_1233","10012485","2014-05-27","zhoršenı",NA,NA,NA,NA,0.5,NA,NA,NA,"0","5","5","0",3,1,2,0.5,"Soutok - Podluí",2014-05-27,2014-05-27,"RP Jiní Morava","AOPK ÈR - RP Jiní Morava, Krajskı úøad Jihomoravského kraje"
"CZ0624119","Lucanus cervus","CZ0624119","7367a","2014","POP_PRESENCE","Brouci","Bøeclav_1233","10012485","2014-05-27","ano","val","ano",NA,"ano",1,"ano","val","lok","0","5","5","0",3,1,2,0.5,"Soutok - Podluí",2014-05-27,2014-05-27,"RP Jiní Morava","AOPK ÈR - RP Jiní Morava, Krajskı úøad Jihomoravského kraje"
"CZ0624119","Lucanus cervus","CZ0624119","7367a","2014","STA_VHSTROMK","Brouci","Bøeclav_1233","10012485","2014-05-27","neznámı","val","ano",NA,"ano",NA,"ne","val","lok","0","5","5","0",3,1,2,0.5,"Soutok - Podluí",2014-05-27,2014-05-27,"RP Jiní Morava","AOPK ÈR - RP Jiní Morava, Krajskı úøad Jihomoravského kraje"
"CZ0624119","Lucanus cervus","CZ0624119","7367a","2014","STA_VHSTROMN","Brouci","Bøeclav_1233","10012485","2014-05-27","neznámı","val","ano",NA,"ano",NA,"ne","val","lok","0","5","5","0",3,1,2,0.5,"Soutok - Podluí",2014-05-27,2014-05-27,"RP Jiní Morava","AOPK ÈR - RP Jiní Morava, Krajskı úøad Jihomoravského kraje"
"CZ0624119","Lucanus cervus","CZ0624119","7168c","2015","CELKOVE_HODNOCENI","Brouci","Mikulèice_1272","10012524","2015-01-01","zhoršenı",NA,NA,NA,NA,0.5,NA,NA,NA,"0","9","9","0",3,1,2,0.5,"Soutok - Podluí",2015-01-01,2015-01-01,"RP Jiní Morava","AOPK ÈR - RP Jiní Morava, Krajskı úøad Jihomoravského kraje"
"CZ0624119","Lucanus cervus","CZ0624119","7168c","2015","POP_PRESENCE","Brouci","Mikulèice_1272","10012524","2015-01-01","ano","val","ano",NA,"ano",1,"ano","val","lok","0","9","9","0",3,1,2,0.5,"Soutok - Podluí",2015-01-01,2015-01-01,"RP Jiní Morava","AOPK ÈR - RP Jiní Morava, Krajskı úøad Jihomoravského kraje"
"CZ0624119","Lucanus cervus","CZ0624119","7168c","2015","STA_VHSTROMK","Brouci","Mikulèice_1272","10012524","2015-01-01","neznámı","val","ano",NA,"ano",NA,"ne","val","lok","0","9","9","0",3,1,2,0.5,"Soutok - Podluí",2015-01-01,2015-01-01,"RP Jiní Morava","AOPK ÈR - RP Jiní Morava, Krajskı úøad Jihomoravského kraje"
"CZ0624119","Lucanus cervus","CZ0624119","7168c","2015","STA_VHSTROMN","Brouci","Mikulèice_1272","10012524","2015-01-01","neznámı","val","ano",NA,"ano",NA,"ne","val","lok","0","9","9","0",3,1,2,0.5,"Soutok - Podluí",2015-01-01,2015-01-01,"RP Jiní Morava","AOPK ÈR - RP Jiní Morava, Krajskı úøad Jihomoravského kraje"
"CZ0624119","Rhysodes sulcatus","CZ0624119","7267d","2015","CELKOVE_HODNOCENI","Brouci","Tvrdonice_1972","10013217","2015-01-01","zhoršenı",NA,NA,NA,NA,0.5,NA,NA,NA,"0","3","3","0",3,1,2,0.5,"Soutok - Podluí",2015-01-01,2015-01-01,"RP Jiní Morava","AOPK ÈR - RP Jiní Morava, Krajskı úøad Jihomoravského kraje"
"CZ0624119","Rhysodes sulcatus","CZ0624119","7267d","2015","POP_PRESENCE","Brouci","Tvrdonice_1972","10013217","2015-01-01","ano","val","ano",NA,"ano",1,"ano","val","lok","0","3","3","0",3,1,2,0.5,"Soutok - Podluí",2015-01-01,2015-01-01,"RP Jiní Morava","AOPK ÈR - RP Jiní Morava, Krajskı úøad Jihomoravského kraje"
"CZ0624119","Rhysodes sulcatus","CZ0624119","7267d","2015","STA_VHSTROMK","Brouci","Tvrdonice_1972","10013217","2015-01-01","neznámı","val","ano",NA,"ano",NA,"ne","val","lok","0","3","3","0",3,1,2,0.5,"Soutok - Podluí",2015-01-01,2015-01-01,"RP Jiní Morava","AOPK ÈR - RP Jiní Morava, Krajskı úøad Jihomoravského kraje"
"CZ0624119","Rhysodes sulcatus","CZ0624119","7267d","2015","STA_VHSTROMN","Brouci","Tvrdonice_1972","10013217","2015-01-01","neznámı","val","ano",NA,"ano",NA,"ne","val","lok","0","3","3","0",3,1,2,0.5,"Soutok - Podluí",2015-01-01,2015-01-01,"RP Jiní Morava","AOPK ÈR - RP Jiní Morava, Krajskı úøad Jihomoravského kraje"
"CZ0514042","Rosalia alpina","CZ0514042","5354c","2015","CELKOVE_HODNOCENI","Brouci","Hradèany nad Plouènicí","10013225","2015-06-29","špatnı",NA,NA,NA,NA,0,NA,NA,NA,"0","4","4","0",4,1,3,0,"Jestøebsko - Dokesko",2015-06-29,2015-06-29,"RP SCHKO Kokoøínsko - Máchùv kraj","Krajskı úøad Libereckého kraje, AOPK ÈR - RP SCHKO Kokoøínsko - Máchùv kraj"
"CZ0514042","Rosalia alpina","CZ0514042","5354c","2015","POP_PRESENCE","Brouci","Hradèany nad Plouènicí","10013225","2015-06-29","ano","val","ano",NA,"ano",1,"ano","val","lok","0","4","4","0",4,1,3,0,"Jestøebsko - Dokesko",2015-06-29,2015-06-29,"RP SCHKO Kokoøínsko - Máchùv kraj","Krajskı úøad Libereckého kraje, AOPK ÈR - RP SCHKO Kokoøínsko - Máchùv kraj"
"CZ0514042","Rosalia alpina","CZ0514042","5354c","2015","STA_SKLADREVO","Brouci","Hradèany nad Plouènicí","10013225","2015-06-29","neznámı","val","ne",NA,"ne",NA,"ne","val","lok","0","4","4","0",4,1,3,0,"Jestøebsko - Dokesko",2015-06-29,2015-06-29,"RP SCHKO Kokoøínsko - Máchùv kraj","Krajskı úøad Libereckého kraje, AOPK ÈR - RP SCHKO Kokoøínsko - Máchùv kraj"
"CZ0514042","Rosalia alpina","CZ0514042","5354c","2015","STA_VHSTROMK","Brouci","Hradèany nad Plouènicí","10013225","2015-06-29","neznámı","val","ano",NA,"ano",NA,"ne","val","lok","0","4","4","0",4,1,3,0,"Jestøebsko - Dokesko",2015-06-29,2015-06-29,"RP SCHKO Kokoøínsko - Máchùv kraj","Krajskı úøad Libereckého kraje, AOPK ÈR - RP SCHKO Kokoøínsko - Máchùv kraj"
"CZ0514042","Rosalia alpina","CZ0514042","5354c","2015","STA_VHSTROMN","Brouci","Hradèany nad Plouènicí","10013225","2015-06-29","neznámı","val","ano",NA,"ano",NA,"ne","val","lok","0","4","4","0",4,1,3,0,"Jestøebsko - Dokesko",2015-06-29,2015-06-29,"RP SCHKO Kokoøínsko - Máchùv kraj","Krajskı úøad Libereckého kraje, AOPK ÈR - RP SCHKO Kokoøínsko - Máchùv kraj"
"CZ0514042","Rosalia alpina","CZ0514042","5453b","2015","CELKOVE_HODNOCENI","Brouci","Doksy u Máchova jezera","10013226","2015-06-29","špatnı",NA,NA,NA,NA,0,NA,NA,NA,"0","4","4","0",4,1,3,0,"Jestøebsko - Dokesko",2015-06-29,2015-06-29,"RP SCHKO Kokoøínsko - Máchùv kraj","Krajskı úøad Libereckého kraje, AOPK ÈR - RP SCHKO Kokoøínsko - Máchùv kraj"
"CZ0514042","Rosalia alpina","CZ0514042","5453b","2015","POP_PRESENCE","Brouci","Doksy u Máchova jezera","10013226","2015-06-29","ano","val","ano",NA,"ano",1,"ano","val","lok","0","4","4","0",4,1,3,0,"Jestøebsko - Dokesko",2015-06-29,2015-06-29,"RP SCHKO Kokoøínsko - Máchùv kraj","Krajskı úøad Libereckého kraje, AOPK ÈR - RP SCHKO Kokoøínsko - Máchùv kraj"
"CZ0514042","Rosalia alpina","CZ0514042","5453b","2015","STA_SKLADREVO","Brouci","Doksy u Máchova jezera","10013226","2015-06-29","neznámı","val","ne",NA,"ne",NA,"ne","val","lok","0","4","4","0",4,1,3,0,"Jestøebsko - Dokesko",2015-06-29,2015-06-29,"RP SCHKO Kokoøínsko - Máchùv kraj","Krajskı úøad Libereckého kraje, AOPK ÈR - RP SCHKO Kokoøínsko - Máchùv kraj"
"CZ0514042","Rosalia alpina","CZ0514042","5453b","2015","STA_VHSTROMK","Brouci","Doksy u Máchova jezera","10013226","2015-06-29","neznámı","val","ano",NA,"ano",NA,"ne","val","lok","0","4","4","0",4,1,3,0,"Jestøebsko - Dokesko",2015-06-29,2015-06-29,"RP SCHKO Kokoøínsko - Máchùv kraj","Krajskı úøad Libereckého kraje, AOPK ÈR - RP SCHKO Kokoøínsko - Máchùv kraj"
"CZ0514042","Rosalia alpina","CZ0514042","5453b","2015","STA_VHSTROMN","Brouci","Doksy u Máchova jezera","10013226","2015-06-29","neznámı","val","ano",NA,"ano",NA,"ne","val","lok","0","4","4","0",4,1,3,0,"Jestøebsko - Dokesko",2015-06-29,2015-06-29,"RP SCHKO Kokoøínsko - Máchùv kraj","Krajskı úøad Libereckého kraje, AOPK ÈR - RP SCHKO Kokoøínsko - Máchùv kraj"
"CZ0313128","Cerambyx cerdo","CZ0313128","6854d","2015","CELKOVE_HODNOCENI","Brouci","Klec","10013480, 10014187, 10014188, 10014189, 10014190, 10014191, 10014192, 10014193, 10014194, 10014195, 10014196, 10014197, 10014198, 10014199, 10014200, 10014201, 10014202, 10014203, 10014204, 10014205, 10014206, 10014207, 10014208, 10014209, 10014212","2015-01-01","zhoršenı",NA,NA,NA,NA,0.5,NA,NA,NA,"0","2","2","0",3,1,2,0.5,"Nadìjská soustava",2013-06-21,2015-01-01,"RP Jiní Èechy","AOPK ÈR - RP Jiní Èechy"
