kod_chu;DRUH;KOD_LOKAL;POLE;ROK;ID_IND;SKUPINA;NAZEV_LOK;ID_ND_AKCE;DATUM;HOD_IND;TYP_IND;LIM_IND;JEDNOTKA;LIM_INDLIST;STAV_IND;KLIC;IND_GRP;UROVEN;CILMON;IND_SUM;IND_SUMKLIC;IND_SUMOST;IND_LEN;IND_LENKLIC;IND_LENOST;CELKOVE;NAZEV;HODNOCENE_OBDOBI_OD;HODNOCENE_OBDOBI_DO;pracoviste;oop
CZ0720190;Bombina variegata;CZ0720190;6672c;2017;CELKOVE_HODNOCENI;Obojživelníci;Lukoveček, Ráztoka;10070155;17347;špatný;NA;NA;NA;NA;0;NA;NA;NA;0;1;0;1;9;2;7;0;Ondřejovsko;2013-06-07;2017-06-30;RP SCHKO Bílé Karpaty;Krajský úřad Zlínského kraje
CZ0720190;Bombina variegata;CZ0720190;6672c;2017;POP_REPROPERIOD3;Obojživelníci;Lukoveček, Ráztoka;10070155;17347;-Inf;min;1;rozmnožování za 3 roky;alespoň 1 rozmnožování za 3 roky;0;ano;minmax;lok;0;1;0;1;9;2;7;0;Ondřejovsko;2013-06-07;2017-06-30;RP SCHKO Bílé Karpaty;Krajský úřad Zlínského kraje
CZ0720190;Bombina variegata;CZ0720190;6672c;2017;STA_POKRVEGETACE;Obojživelníci;Lukoveček, Ráztoka;10070155;17347;neznámý;val;0;NA;0, 0-25 %, 1-10 %, 11-25 %, 26-50 %, 1-25 %, nejvýš 50 NA;NA;ne;val;lok;0;1;0;1;9;2;7;0;Ondřejovsko;2013-06-07;2017-06-30;RP SCHKO Bílé Karpaty;Krajský úřad Zlínského kraje
CZ0720190;Bombina variegata;CZ0720190;6672c;2017;STA_RYBY;Obojživelníci;Lukoveček, Ráztoka;10070155;17347;ne;val;ne;zaznamenán nadměrný tlak ryb;ne;1;ne;val;lok;0;1;0;1;9;2;7;0;Ondřejovsko;2013-06-07;2017-06-30;RP SCHKO Bílé Karpaty;Krajský úřad Zlínského kraje
CZ0720190;Bombina variegata;CZ0720190;6672c;2017;STA_UHYNOBOJZIVELNIK;Obojživelníci;Lukoveček, Ráztoka;10070155;17347;neznámý;val;ne;NA;ne;NA;ne;val;lok;0;1;0;1;9;2;7;0;Ondřejovsko;2013-06-07;2017-06-30;RP SCHKO Bílé Karpaty;Krajský úřad Zlínského kraje
CZ0720190;Bombina variegata;CZ0720190;6672c;2017;STA_ZASTINENIHLADINA;Obojživelníci;Lukoveček, Ráztoka;10070155;17347;neznámý;val;0-25 %;NA;0-25 %, 26-50 %, 51-75 %, nejvýš 75 NA;NA;ne;val;lok;0;1;0;1;9;2;7;0;Ondřejovsko;2013-06-07;2017-06-30;RP SCHKO Bílé Karpaty;Krajský úřad Zlínského kraje
CZ0720190;Bombina variegata;CZ0720190;6672c;2017;STA_ZTRATABIO;Obojživelníci;Lukoveček, Ráztoka;10070155;17347;ne;val;ne;zaznamenána ztráta vodních biotopů;ne;1;ne;val;lok;0;1;0;1;9;2;7;0;Ondřejovsko;2013-06-07;2017-06-30;RP SCHKO Bílé Karpaty;Krajský úřad Zlínského kraje
CZ0724091;Bombina variegata;CZ0724091;6869c;2015;CELKOVE_HODNOCENI;Obojživelníci;Koryčany, tůně pod Ocáskem;10088297;16572;špatný;NA;NA;NA;NA;0;NA;NA;NA;0;2;0;2;9;2;7;0;Chřiby;2014-09-18;2015-05-17;RP SCHKO Bílé Karpaty;Krajský úřad Jihomoravského kraje, Krajský úřad Zlínského kraje
CZ0724091;Bombina variegata;CZ0724091;6869c;2015;POP_REPROPERIOD3;Obojživelníci;Koryčany, tůně pod Ocáskem;10088297;16572;-Inf;min;1;rozmnožování za 3 roky;alespoň 1 rozmnožování za 3 roky;0;ano;minmax;lok;0;2;0;2;9;2;7;0;Chřiby;2014-09-18;2015-05-17;RP SCHKO Bílé Karpaty;Krajský úřad Jihomoravského kraje, Krajský úřad Zlínského kraje
CZ0724091;Bombina variegata;CZ0724091;6869c;2015;STA_POKRVEGETACE;Obojživelníci;Koryčany, tůně pod Ocáskem;10088297;16572;neznámý;val;0;NA;0, 0-25 %, 1-10 %, 11-25 %, 26-50 %, 1-25 %, nejvýš 50 NA;NA;ne;val;lok;0;2;0;2;9;2;7;0;Chřiby;2014-09-18;2015-05-17;RP SCHKO Bílé Karpaty;Krajský úřad Jihomoravského kraje, Krajský úřad Zlínského kraje
