ROK;kod_chu;NAZEV;DRUH;SKUPINA;KOD_LOKAL;LOKALITA;pracoviste;oop;IDX_ND_AKCE;ID_ND_NALEZ;DATUM;AUTOR;ID_IND;JEDNOTKA;TYP_IND;IND_GRP;KLIC;UROVEN;LIM_IND;HOD_IND;STAV_IND;CESKE_JME;DATUM_OD;DATUM_DO;IDX_ND_LOK;KOD_LOKALITY;EVL;PROC_EVL;NEGATIVNI;IDX_ND_LOKALIZACE;MAX_PROC;POLE;DEN;MESIC;nazev_chu;CILMON;POCITANO_CLEAN;pozn;LIM_INDLIST
2012;CZ0413009;Rankovický triangl;Euphydryas aurinia;Motýli;Rankovice - EVL Rankovický triangl;Rankovice - EVL Rankovický triangl;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les;8221295;23407939;2012-08-15;Tájek Přemysl;CELKOVE_SUM;NA;NA;NA;NA;NA;NA;2;1;hnědásek chrastavcový;15.08.2012;15.08.2012;4991601;NA;CZ0413009: Rankovický triangl;100;0;4991601;100;5943c;15;8;Rankovický triangl;0;hnízda housenek;NA;NA
2012;CZ0413009;Rankovický triangl;Euphydryas aurinia;Motýli;Rankovice - EVL Rankovický triangl;Rankovice - EVL Rankovický triangl;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les;8221295;23407939;2012-08-15;Tájek Přemysl;CELKOVE_SUM;NA;NA;NA;NA;NA;NA;2;NA;hnědásek chrastavcový;15.08.2012;15.08.2012;4991601;NA;CZ0413009: Rankovický triangl;100;0;4991601;100;5943c;15;8;Rankovický triangl;0;hnízda housenek;NA;NA
2012;CZ0413009;Rankovický triangl;Euphydryas aurinia;Motýli;Rankovice - EVL Rankovický triangl;Rankovice - EVL Rankovický triangl;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les;8221295;23407939;2012-08-15;Tájek Přemysl;POP_POCETSUMLOKAL;hnízda housenek;min;minmax;ano;lok;10;12;1;hnědásek chrastavcový;15.08.2012;15.08.2012;4991601;NA;CZ0413009: Rankovický triangl;100;0;4991601;100;5943c;15;8;Rankovický triangl;0;hnízda housenek;NA;alespoň 10 hnízda housenek
2012;CZ0413009;Rankovický triangl;Euphydryas aurinia;Motýli;Rankovice - EVL Rankovický triangl;Rankovice - EVL Rankovický triangl;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les;8221295;23407939;2012-08-15;Tájek Přemysl;POP_PRESENCE;NA;val;val;ano;lok;ano;ano;1;hnědásek chrastavcový;15.08.2012;15.08.2012;4991601;NA;CZ0413009: Rankovický triangl;100;0;4991601;100;5943c;15;8;Rankovický triangl;0;hnízda housenek;NA;ano
2012;CZ0413009;Rankovický triangl;Euphydryas aurinia;Motýli;Rankovice - EVL Rankovický triangl;Rankovice - EVL Rankovický triangl;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les;8221295;23407939;2012-08-15;Tájek Přemysl;STA_LIKVIDACE;NA;val;val;ne;lok;nezaznamenána;NA;NA;hnědásek chrastavcový;15.08.2012;15.08.2012;4991601;NA;CZ0413009: Rankovický triangl;100;0;4991601;100;5943c;15;8;Rankovický triangl;0;hnízda housenek;NA;nezaznamenána
2012;CZ0413009;Rankovický triangl;Euphydryas aurinia;Motýli;Rankovice - EVL Rankovický triangl;Rankovice - EVL Rankovický triangl;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les;8221295;23407939;2012-08-15;Tájek Přemysl;STA_PRITOMNOSTROSTLIN;kategorie relativní početnosti;val;val;ne;lok;jednotlivě;NA;NA;hnědásek chrastavcový;15.08.2012;15.08.2012;4991601;NA;CZ0413009: Rankovický triangl;100;0;4991601;100;5943c;15;8;Rankovický triangl;0;hnízda housenek;NA;jednotlivě, dominantně, hojně
2012;CZ0413013;Mokřady u Těšetic;Euphydryas aurinia;Motýli;Těšetice u Bochova, louky mezi rybníky JV o.;Těšetice u Bochova, louky mezi rybníky JV o.;RP SCHKO Slavkovský les;Krajský úřad Karlovarského kraje;8221809;23411316;2012-08-09;Pavlíčko Alois#Vrabec Vladimír;CELKOVE_SUM;NA;NA;NA;NA;NA;NA;2;1;hnědásek chrastavcový;09.08.2012;09.08.2012;4991942;NA;CZ0413013: Mokřady u Těšetic;100;0;4991942;100;5844b;9;8;Mokřady u Těšetic;0;hnízda housenek;NA;NA
2012;CZ0413013;Mokřady u Těšetic;Euphydryas aurinia;Motýli;Těšetice u Bochova, louky mezi rybníky JV o.;Těšetice u Bochova, louky mezi rybníky JV o.;RP SCHKO Slavkovský les;Krajský úřad Karlovarského kraje;8221809;23411316;2012-08-09;Pavlíčko Alois#Vrabec Vladimír;CELKOVE_SUM;NA;NA;NA;NA;NA;NA;2;NA;hnědásek chrastavcový;09.08.2012;09.08.2012;4991942;NA;CZ0413013: Mokřady u Těšetic;100;0;4991942;100;5844b;9;8;Mokřady u Těšetic;0;hnízda housenek;NA;NA
2012;CZ0413013;Mokřady u Těšetic;Euphydryas aurinia;Motýli;Těšetice u Bochova, louky mezi rybníky JV o.;Těšetice u Bochova, louky mezi rybníky JV o.;RP SCHKO Slavkovský les;Krajský úřad Karlovarského kraje;8221809;23411316;2012-08-09;Pavlíčko Alois#Vrabec Vladimír;POP_POCETSUMLOKAL;hnízda housenek;min;minmax;ano;lok;10;19;1;hnědásek chrastavcový;09.08.2012;09.08.2012;4991942;NA;CZ0413013: Mokřady u Těšetic;100;0;4991942;100;5844b;9;8;Mokřady u Těšetic;0;hnízda housenek;NA;alespoň 10 hnízda housenek
2012;CZ0413013;Mokřady u Těšetic;Euphydryas aurinia;Motýli;Těšetice u Bochova, louky mezi rybníky JV o.;Těšetice u Bochova, louky mezi rybníky JV o.;RP SCHKO Slavkovský les;Krajský úřad Karlovarského kraje;8221809;23411316;2012-08-09;Pavlíčko Alois#Vrabec Vladimír;POP_PRESENCE;NA;val;val;ano;lok;ano;ano;1;hnědásek chrastavcový;09.08.2012;09.08.2012;4991942;NA;CZ0413013: Mokřady u Těšetic;100;0;4991942;100;5844b;9;8;Mokřady u Těšetic;0;hnízda housenek;NA;ano
2012;CZ0413013;Mokřady u Těšetic;Euphydryas aurinia;Motýli;Těšetice u Bochova, louky mezi rybníky JV o.;Těšetice u Bochova, louky mezi rybníky JV o.;RP SCHKO Slavkovský les;Krajský úřad Karlovarského kraje;8221809;23411316;2012-08-09;Pavlíčko Alois#Vrabec Vladimír;STA_LIKVIDACE;NA;val;val;ne;lok;nezaznamenána;NA;NA;hnědásek chrastavcový;09.08.2012;09.08.2012;4991942;NA;CZ0413013: Mokřady u Těšetic;100;0;4991942;100;5844b;9;8;Mokřady u Těšetic;0;hnízda housenek;NA;nezaznamenána
2012;CZ0413013;Mokřady u Těšetic;Euphydryas aurinia;Motýli;Těšetice u Bochova, louky mezi rybníky JV o.;Těšetice u Bochova, louky mezi rybníky JV o.;RP SCHKO Slavkovský les;Krajský úřad Karlovarského kraje;8221809;23411316;2012-08-09;Pavlíčko Alois#Vrabec Vladimír;STA_PRITOMNOSTROSTLIN;kategorie relativní početnosti;val;val;ne;lok;jednotlivě;NA;NA;hnědásek chrastavcový;09.08.2012;09.08.2012;4991942;NA;CZ0413013: Mokřady u Těšetic;100;0;4991942;100;5844b;9;8;Mokřady u Těšetic;0;hnízda housenek;NA;jednotlivě, dominantně, hojně
2012;CZ0424125;Doupovské hory;Euphydryas aurinia;Motýli;Hradiště, J o., SV rybníka;Hradiště, J o., SV rybníka;RP SCHKO Slavkovský les;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;8221821;23411568;2012-08-09;Pavlíčko Alois;CELKOVE_SUM;NA;NA;NA;NA;NA;NA;0;0;hnědásek chrastavcový;09.08.2012;09.08.2012;4991956;NA;CZ0424125: Doupovské hory;100;1;4991956;100;5844a;9;8;Doupovské hory;0;NA;NA;NA
2012;CZ0424125;Doupovské hory;Euphydryas aurinia;Motýli;Hradiště, J o., SV rybníka;Hradiště, J o., SV rybníka;RP SCHKO Slavkovský les;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;8221821;23411568;2012-08-09;Pavlíčko Alois;CELKOVE_SUM;NA;NA;NA;NA;NA;NA;0;NA;hnědásek chrastavcový;09.08.2012;09.08.2012;4991956;NA;CZ0424125: Doupovské hory;100;1;4991956;100;5844a;9;8;Doupovské hory;0;NA;NA;NA
2012;CZ0424125;Doupovské hory;Euphydryas aurinia;Motýli;Hradiště, J o., SV rybníka;Hradiště, J o., SV rybníka;RP SCHKO Slavkovský les;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;8221821;23411568;2012-08-09;Pavlíčko Alois;POP_POCETSUMLOKAL;hnízda housenek;min;minmax;ano;lok;10;0;0;hnědásek chrastavcový;09.08.2012;09.08.2012;4991956;NA;CZ0424125: Doupovské hory;100;1;4991956;100;5844a;9;8;Doupovské hory;0;NA;NA;alespoň 10 hnízda housenek
2012;CZ0424125;Doupovské hory;Euphydryas aurinia;Motýli;Hradiště, J o., SV rybníka;Hradiště, J o., SV rybníka;RP SCHKO Slavkovský les;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;8221821;23411568;2012-08-09;Pavlíčko Alois;POP_PRESENCE;NA;val;val;ano;lok;ano;ne;0;hnědásek chrastavcový;09.08.2012;09.08.2012;4991956;NA;CZ0424125: Doupovské hory;100;1;4991956;100;5844a;9;8;Doupovské hory;0;NA;NA;ano
2012;CZ0424125;Doupovské hory;Euphydryas aurinia;Motýli;Hradiště, J o., SV rybníka;Hradiště, J o., SV rybníka;RP SCHKO Slavkovský les;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;8221821;23411568;2012-08-09;Pavlíčko Alois;STA_LIKVIDACE;NA;val;val;ne;lok;nezaznamenána;NA;NA;hnědásek chrastavcový;09.08.2012;09.08.2012;4991956;NA;CZ0424125: Doupovské hory;100;1;4991956;100;5844a;9;8;Doupovské hory;0;NA;NA;nezaznamenána
2012;CZ0424125;Doupovské hory;Euphydryas aurinia;Motýli;Hradiště, J o., SV rybníka;Hradiště, J o., SV rybníka;RP SCHKO Slavkovský les;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;8221821;23411568;2012-08-09;Pavlíčko Alois;STA_PRITOMNOSTROSTLIN;kategorie relativní početnosti;val;val;ne;lok;jednotlivě;NA;NA;hnědásek chrastavcový;09.08.2012;09.08.2012;4991956;NA;CZ0424125: Doupovské hory;100;1;4991956;100;5844a;9;8;Doupovské hory;0;NA;NA;jednotlivě, dominantně, hojně
