"ROK","kod_chu","NAZEV","DRUH","SKUPINA","KOD_LOKAL","LOKALITA","pracoviste","oop","IDX_ND_AKCE","ID_ND_NALEZ","DATUM","AUTOR","ID_IND","JEDNOTKA","TYP_IND","IND_GRP","KLIC","UROVEN","LIM_IND","HOD_IND","STAV_IND","CESKE_JME","DATUM_OD","DATUM_DO","IDX_ND_LOK","KOD_LOKALITY","EVL","PROC_EVL","NEGATIVNI","IDX_ND_LOKALIZACE","MAX_PROC","POLE","DEN","MESIC","nazev_chu","CILMON","POCITANO_CLEAN","pozn","LIM_INDLIST"
2012,NA,NA,"Euphydryas aurinia","Motýli","Poutnov-Tisová pod židovským høbitovem","Poutnov-Tisová pod židovským høbitovem",NA,NA,8221294,23407938,2012-08-15,"Tájek Pøemysl","CELKOVE_SUM",NA,NA,NA,NA,NA,NA,"1",0,"hnìdásek chrastavcový","15.08.2012","15.08.2012",4991600,NA,NA,NA,0,NA,NA,NA,15,8,NA,"0","hnízda housenek",NA,NA
2012,NA,NA,"Euphydryas aurinia","Motýli","Poutnov-Tisová pod židovským høbitovem","Poutnov-Tisová pod židovským høbitovem",NA,NA,8221294,23407938,2012-08-15,"Tájek Pøemysl","CELKOVE_SUM",NA,NA,NA,NA,NA,NA,"1",1,"hnìdásek chrastavcový","15.08.2012","15.08.2012",4991600,NA,NA,NA,0,NA,NA,NA,15,8,NA,"0","hnízda housenek",NA,NA
2012,NA,NA,"Euphydryas aurinia","Motýli","Poutnov-Tisová pod židovským høbitovem","Poutnov-Tisová pod židovským høbitovem",NA,NA,8221294,23407938,2012-08-15,"Tájek Pøemysl","CELKOVE_SUM",NA,NA,NA,NA,NA,NA,"1",NA,"hnìdásek chrastavcový","15.08.2012","15.08.2012",4991600,NA,NA,NA,0,NA,NA,NA,15,8,NA,"0","hnízda housenek",NA,NA
2012,NA,NA,"Euphydryas aurinia","Motýli","Poutnov-Tisová pod židovským høbitovem","Poutnov-Tisová pod židovským høbitovem",NA,NA,8221294,23407938,2012-08-15,"Tájek Pøemysl","POP_POCETSUMLOKAL","hnízda housenek","min","minmax","ano","lok","10","1",0,"hnìdásek chrastavcový","15.08.2012","15.08.2012",4991600,NA,NA,NA,0,NA,NA,NA,15,8,NA,"0","hnízda housenek",NA,"alespoò 10 hnízda housenek"
2012,NA,NA,"Euphydryas aurinia","Motýli","Poutnov-Tisová pod židovským høbitovem","Poutnov-Tisová pod židovským høbitovem",NA,NA,8221294,23407938,2012-08-15,"Tájek Pøemysl","POP_PRESENCE",NA,"val","val","ano","lok","ano","ano",1,"hnìdásek chrastavcový","15.08.2012","15.08.2012",4991600,NA,NA,NA,0,NA,NA,NA,15,8,NA,"0","hnízda housenek",NA,"ano"
2012,NA,NA,"Euphydryas aurinia","Motýli","Poutnov-Tisová pod židovským høbitovem","Poutnov-Tisová pod židovským høbitovem",NA,NA,8221294,23407938,2012-08-15,"Tájek Pøemysl","STA_LIKVIDACE",NA,"val","val","ne","lok","nezaznamenána",NA,NA,"hnìdásek chrastavcový","15.08.2012","15.08.2012",4991600,NA,NA,NA,0,NA,NA,NA,15,8,NA,"0","hnízda housenek",NA,"nezaznamenána"
2012,NA,NA,"Euphydryas aurinia","Motýli","Poutnov-Tisová pod židovským høbitovem","Poutnov-Tisová pod židovským høbitovem",NA,NA,8221294,23407938,2012-08-15,"Tájek Pøemysl","STA_PRITOMNOSTROSTLIN","kategorie relativní poèetnosti","val","val","ne","lok","jednotlivì",NA,NA,"hnìdásek chrastavcový","15.08.2012","15.08.2012",4991600,NA,NA,NA,0,NA,NA,NA,15,8,NA,"0","hnízda housenek",NA,"jednotlivì, dominantnì, hojnì"
2012,"CZ0413009","Rankovický triangl","Euphydryas aurinia","Motýli","Rankovice - EVL Rankovický triangl","Rankovice - EVL Rankovický triangl","RP SCHKO Slavkovský les","AOPK ÈR - RP SCHKO Slavkovský les",8221295,23407939,2012-08-15,"Tájek Pøemysl","CELKOVE_SUM",NA,NA,NA,NA,NA,NA,"2",1,"hnìdásek chrastavcový","15.08.2012","15.08.2012",4991601,NA,"CZ0413009: Rankovický triangl",100,0,4991601,100,"5943c",15,8,"Rankovický triangl","0","hnízda housenek",NA,NA
2012,"CZ0413009","Rankovický triangl","Euphydryas aurinia","Motýli","Rankovice - EVL Rankovický triangl","Rankovice - EVL Rankovický triangl","RP SCHKO Slavkovský les","AOPK ÈR - RP SCHKO Slavkovský les",8221295,23407939,2012-08-15,"Tájek Pøemysl","CELKOVE_SUM",NA,NA,NA,NA,NA,NA,"2",NA,"hnìdásek chrastavcový","15.08.2012","15.08.2012",4991601,NA,"CZ0413009: Rankovický triangl",100,0,4991601,100,"5943c",15,8,"Rankovický triangl","0","hnízda housenek",NA,NA
2012,"CZ0413009","Rankovický triangl","Euphydryas aurinia","Motýli","Rankovice - EVL Rankovický triangl","Rankovice - EVL Rankovický triangl","RP SCHKO Slavkovský les","AOPK ÈR - RP SCHKO Slavkovský les",8221295,23407939,2012-08-15,"Tájek Pøemysl","POP_POCETSUMLOKAL","hnízda housenek","min","minmax","ano","lok","10","12",1,"hnìdásek chrastavcový","15.08.2012","15.08.2012",4991601,NA,"CZ0413009: Rankovický triangl",100,0,4991601,100,"5943c",15,8,"Rankovický triangl","0","hnízda housenek",NA,"alespoò 10 hnízda housenek"
2012,"CZ0413009","Rankovický triangl","Euphydryas aurinia","Motýli","Rankovice - EVL Rankovický triangl","Rankovice - EVL Rankovický triangl","RP SCHKO Slavkovský les","AOPK ÈR - RP SCHKO Slavkovský les",8221295,23407939,2012-08-15,"Tájek Pøemysl","POP_PRESENCE",NA,"val","val","ano","lok","ano","ano",1,"hnìdásek chrastavcový","15.08.2012","15.08.2012",4991601,NA,"CZ0413009: Rankovický triangl",100,0,4991601,100,"5943c",15,8,"Rankovický triangl","0","hnízda housenek",NA,"ano"
2012,"CZ0413009","Rankovický triangl","Euphydryas aurinia","Motýli","Rankovice - EVL Rankovický triangl","Rankovice - EVL Rankovický triangl","RP SCHKO Slavkovský les","AOPK ÈR - RP SCHKO Slavkovský les",8221295,23407939,2012-08-15,"Tájek Pøemysl","STA_LIKVIDACE",NA,"val","val","ne","lok","nezaznamenána",NA,NA,"hnìdásek chrastavcový","15.08.2012","15.08.2012",4991601,NA,"CZ0413009: Rankovický triangl",100,0,4991601,100,"5943c",15,8,"Rankovický triangl","0","hnízda housenek",NA,"nezaznamenána"
