"SITECODE";"NAZEV";"HABITAT_CODE";"indikator";"value"
681;"Semínský pøesyp";"2330";"ROZLOHA";"0.0334"
681;"Semínský pøesyp";"2330";"KVALITA";"2"
681;"Semínský pøesyp";"2330";"TYPICKE_DRUHY";"3"
681;"Semínský pøesyp";"2330";"REPRE";"2"
681;"Semínský pøesyp";"2330";"REPRE_SDF";"3"
681;"Semínský pøesyp";"2330";"CONSERVATION";"2"
681;"Semínský pøesyp";"2330";"DEGREE_OF_CONSERVATION";"100"
681;"Semínský pøesyp";"2330";"MRTVE_DREVO";NA
681;"Semínský pøesyp";"2330";"KALAMITA_POLOM";NA
681;"Semínský pøesyp";"2330";"EVL_AREA_PERC";"15.813"
681;"Semínský pøesyp";"2330";"GOOD_DOC_AREA_HA";"0.0334"
681;"Semínský pøesyp";"2330";"W_AREA_HA";"0"
681;"Semínský pøesyp";"2330";"W_AREA_PERC";"0"
681;"Semínský pøesyp";"2330";"PASEKY_AREA_HA";NA
681;"Semínský pøesyp";"2330";"PASEKY_AREA_PERC";NA
681;"Semínský pøesyp";"2330";"DEGRAD_AREA_HA";"0"
681;"Semínský pøesyp";"2330";"DEGRAD_AREA_PERC";"0"
681;"Semínský pøesyp";"2330";"PERC_0";"0"
681;"Semínský pøesyp";"2330";"PERC_1";"0"
681;"Semínský pøesyp";"2330";"PERC_2";"100"
681;"Semínský pøesyp";"2330";"DATE_MIN";"2024-05-02"
681;"Semínský pøesyp";"2330";"DATE_MAX";"2024-05-02"
1183;"Velký vrch u Vršovic";"9170";"ROZLOHA";"18.2551"
1183;"Velký vrch u Vršovic";"9170";"KVALITA";"2"
1183;"Velký vrch u Vršovic";"9170";"TYPICKE_DRUHY";"2"
1183;"Velký vrch u Vršovic";"9170";"REPRE";"2"
1183;"Velký vrch u Vršovic";"9170";"REPRE_SDF";"2"
1183;"Velký vrch u Vršovic";"9170";"CONSERVATION";"2"
1183;"Velký vrch u Vršovic";"9170";"DEGREE_OF_CONSERVATION";"100"
1183;"Velký vrch u Vršovic";"9170";"MRTVE_DREVO";NA
1183;"Velký vrch u Vršovic";"9170";"KALAMITA_POLOM";NA
1183;"Velký vrch u Vršovic";"9170";"EVL_AREA_PERC";"48.9983"
1183;"Velký vrch u Vršovic";"9170";"GOOD_DOC_AREA_HA";"18.2551"
1183;"Velký vrch u Vršovic";"9170";"W_AREA_HA";"0"
1183;"Velký vrch u Vršovic";"9170";"W_AREA_PERC";"0"
1183;"Velký vrch u Vršovic";"9170";"PASEKY_AREA_HA";"0"
1183;"Velký vrch u Vršovic";"9170";"PASEKY_AREA_PERC";"0"
1183;"Velký vrch u Vršovic";"9170";"DEGRAD_AREA_HA";"0"
1183;"Velký vrch u Vršovic";"9170";"DEGRAD_AREA_PERC";"0"
1183;"Velký vrch u Vršovic";"9170";"PERC_0";"0"
1183;"Velký vrch u Vršovic";"9170";"PERC_1";"0"
1183;"Velký vrch u Vršovic";"9170";"PERC_2";"0"
1183;"Velký vrch u Vršovic";"9170";"DATE_MIN";"2024-05-24"
1183;"Velký vrch u Vršovic";"9170";"DATE_MAX";"2024-05-24"
1183;"Velký vrch u Vršovic";"91I0";"ROZLOHA";"4.8364"
1183;"Velký vrch u Vršovic";"91I0";"KVALITA";"2"
1183;"Velký vrch u Vršovic";"91I0";"TYPICKE_DRUHY";"2"
1183;"Velký vrch u Vršovic";"91I0";"REPRE";"2"
1183;"Velký vrch u Vršovic";"91I0";"REPRE_SDF";"2"
1183;"Velký vrch u Vršovic";"91I0";"CONSERVATION";"2"
1183;"Velký vrch u Vršovic";"91I0";"DEGREE_OF_CONSERVATION";"100"
1183;"Velký vrch u Vršovic";"91I0";"MRTVE_DREVO";NA
1183;"Velký vrch u Vršovic";"91I0";"KALAMITA_POLOM";NA
1183;"Velký vrch u Vršovic";"91I0";"EVL_AREA_PERC";"12.9813"
1183;"Velký vrch u Vršovic";"91I0";"GOOD_DOC_AREA_HA";"4.8364"
1183;"Velký vrch u Vršovic";"91I0";"W_AREA_HA";"0"
1183;"Velký vrch u Vršovic";"91I0";"W_AREA_PERC";"0"
1183;"Velký vrch u Vršovic";"91I0";"PASEKY_AREA_HA";"0"
1183;"Velký vrch u Vršovic";"91I0";"PASEKY_AREA_PERC";"0"
1183;"Velký vrch u Vršovic";"91I0";"DEGRAD_AREA_HA";"0"
1183;"Velký vrch u Vršovic";"91I0";"DEGRAD_AREA_PERC";"0"
1183;"Velký vrch u Vršovic";"91I0";"PERC_0";"0"
1183;"Velký vrch u Vršovic";"91I0";"PERC_1";"0"
1183;"Velký vrch u Vršovic";"91I0";"PERC_2";"0"
1183;"Velký vrch u Vršovic";"91I0";"DATE_MIN";"2024-05-24"
1183;"Velký vrch u Vršovic";"91I0";"DATE_MAX";"2024-05-24"
1183;"Velký vrch u Vršovic";"6210";"ROZLOHA";"2.9162"
1183;"Velký vrch u Vršovic";"6210";"KVALITA";"1.5084"
1183;"Velký vrch u Vršovic";"6210";"TYPICKE_DRUHY";"1.5084"
1183;"Velký vrch u Vršovic";"6210";"REPRE";"2"
1183;"Velký vrch u Vršovic";"6210";"REPRE_SDF";"1.5084"
1183;"Velký vrch u Vršovic";"6210";"CONSERVATION";"1.5084"
1183;"Velký vrch u Vršovic";"6210";"DEGREE_OF_CONSERVATION";"100"
1183;"Velký vrch u Vršovic";"6210";"MRTVE_DREVO";NA
1183;"Velký vrch u Vršovic";"6210";"KALAMITA_POLOM";NA
1183;"Velký vrch u Vršovic";"6210";"EVL_AREA_PERC";"7.8274"
1183;"Velký vrch u Vršovic";"6210";"GOOD_DOC_AREA_HA";"2.9162"
1183;"Velký vrch u Vršovic";"6210";"W_AREA_HA";"0"
1183;"Velký vrch u Vršovic";"6210";"W_AREA_PERC";"0"
1183;"Velký vrch u Vršovic";"6210";"PASEKY_AREA_HA";NA
1183;"Velký vrch u Vršovic";"6210";"PASEKY_AREA_PERC";NA
1183;"Velký vrch u Vršovic";"6210";"DEGRAD_AREA_HA";"0"
1183;"Velký vrch u Vršovic";"6210";"DEGRAD_AREA_PERC";"0"
1183;"Velký vrch u Vršovic";"6210";"PERC_0";"0"
1183;"Velký vrch u Vršovic";"6210";"PERC_1";"0"
1183;"Velký vrch u Vršovic";"6210";"PERC_2";"0"
1183;"Velký vrch u Vršovic";"6210";"DATE_MIN";"2021-06-04"
1183;"Velký vrch u Vršovic";"6210";"DATE_MAX";"2025-05-16"
1183;"Velký vrch u Vršovic";"T3.3D";"ROZLOHA";"0"
1183;"Velký vrch u Vršovic";"T3.3D";"KVALITA";NA
1183;"Velký vrch u Vršovic";"T3.3D";"TYPICKE_DRUHY";NA
1183;"Velký vrch u Vršovic";"T3.3D";"REPRE";NA
1183;"Velký vrch u Vršovic";"T3.3D";"REPRE_SDF";NA
1183;"Velký vrch u Vršovic";"T3.3D";"CONSERVATION";NA
1183;"Velký vrch u Vršovic";"T3.3D";"DEGREE_OF_CONSERVATION";NA
1183;"Velký vrch u Vršovic";"T3.3D";"MRTVE_DREVO";NA
1183;"Velký vrch u Vršovic";"T3.3D";"KALAMITA_POLOM";NA
1183;"Velký vrch u Vršovic";"T3.3D";"EVL_AREA_PERC";NA
1183;"Velký vrch u Vršovic";"T3.3D";"GOOD_DOC_AREA_HA";NA
1183;"Velký vrch u Vršovic";"T3.3D";"W_AREA_HA";"0"
1183;"Velký vrch u Vršovic";"T3.3D";"W_AREA_PERC";NA
1183;"Velký vrch u Vršovic";"T3.3D";"PASEKY_AREA_HA";NA
1183;"Velký vrch u Vršovic";"T3.3D";"PASEKY_AREA_PERC";NA
1183;"Velký vrch u Vršovic";"T3.3D";"DEGRAD_AREA_HA";"0"
1183;"Velký vrch u Vršovic";"T3.3D";"DEGRAD_AREA_PERC";NA
1183;"Velký vrch u Vršovic";"T3.3D";"PERC_0";NA
1183;"Velký vrch u Vršovic";"T3.3D";"PERC_1";NA
1183;"Velký vrch u Vršovic";"T3.3D";"PERC_2";NA
1183;"Velký vrch u Vršovic";"T3.3D";"DATE_MIN";NA
1183;"Velký vrch u Vršovic";"T3.3D";"DATE_MAX";NA
1183;"Velký vrch u Vršovic";"K3";"ROZLOHA";"0"
1183;"Velký vrch u Vršovic";"K3";"KVALITA";NA
1183;"Velký vrch u Vršovic";"K3";"TYPICKE_DRUHY";NA
1183;"Velký vrch u Vršovic";"K3";"REPRE";NA
1183;"Velký vrch u Vršovic";"K3";"REPRE_SDF";NA
1183;"Velký vrch u Vršovic";"K3";"CONSERVATION";NA
1183;"Velký vrch u Vršovic";"K3";"DEGREE_OF_CONSERVATION";NA
1183;"Velký vrch u Vršovic";"K3";"MRTVE_DREVO";NA
1183;"Velký vrch u Vršovic";"K3";"KALAMITA_POLOM";NA
1183;"Velký vrch u Vršovic";"K3";"EVL_AREA_PERC";NA
1183;"Velký vrch u Vršovic";"K3";"GOOD_DOC_AREA_HA";NA
1183;"Velký vrch u Vršovic";"K3";"W_AREA_HA";"0"
1183;"Velký vrch u Vršovic";"K3";"W_AREA_PERC";NA
1183;"Velký vrch u Vršovic";"K3";"PASEKY_AREA_HA";NA
1183;"Velký vrch u Vršovic";"K3";"PASEKY_AREA_PERC";NA
1183;"Velký vrch u Vršovic";"K3";"DEGRAD_AREA_HA";"0"
1183;"Velký vrch u Vršovic";"K3";"DEGRAD_AREA_PERC";NA
1183;"Velký vrch u Vršovic";"K3";"PERC_0";NA
1183;"Velký vrch u Vršovic";"K3";"PERC_1";NA
1183;"Velký vrch u Vršovic";"K3";"PERC_2";NA
1183;"Velký vrch u Vršovic";"K3";"DATE_MIN";NA
1183;"Velký vrch u Vršovic";"K3";"DATE_MAX";NA
5874;"Hodonínská Dúbrava";"V2";"ROZLOHA";"0"
5874;"Hodonínská Dúbrava";"V2";"KVALITA";NA
5874;"Hodonínská Dúbrava";"V2";"TYPICKE_DRUHY";NA
5874;"Hodonínská Dúbrava";"V2";"REPRE";NA
5874;"Hodonínská Dúbrava";"V2";"REPRE_SDF";NA
5874;"Hodonínská Dúbrava";"V2";"CONSERVATION";NA
5874;"Hodonínská Dúbrava";"V2";"DEGREE_OF_CONSERVATION";NA
5874;"Hodonínská Dúbrava";"V2";"MRTVE_DREVO";NA
5874;"Hodonínská Dúbrava";"V2";"KALAMITA_POLOM";NA
5874;"Hodonínská Dúbrava";"V2";"EVL_AREA_PERC";NA
5874;"Hodonínská Dúbrava";"V2";"GOOD_DOC_AREA_HA";NA
5874;"Hodonínská Dúbrava";"V2";"W_AREA_HA";"0"
5874;"Hodonínská Dúbrava";"V2";"W_AREA_PERC";NA
5874;"Hodonínská Dúbrava";"V2";"PASEKY_AREA_HA";NA
5874;"Hodonínská Dúbrava";"V2";"PASEKY_AREA_PERC";NA
5874;"Hodonínská Dúbrava";"V2";"DEGRAD_AREA_HA";"0"
5874;"Hodonínská Dúbrava";"V2";"DEGRAD_AREA_PERC";NA
