"SITECODE","NAZEV","HABITAT_CODE","DATE_MIN","DATE_MAX","indikator","value"
681,"Semínský pøesyp","2330","2024-05-02","2024-05-02","ROZLOHA","0.0334"
681,"Semínský pøesyp","2330","2024-05-02","2024-05-02","KVALITA","2"
681,"Semínský pøesyp","2330","2024-05-02","2024-05-02","TYPICKE_DRUHY","3"
681,"Semínský pøesyp","2330","2024-05-02","2024-05-02","REPRE","2"
681,"Semínský pøesyp","2330","2024-05-02","2024-05-02","REPRE_SDF","3"
681,"Semínský pøesyp","2330","2024-05-02","2024-05-02","CONSERVATION","2"
681,"Semínský pøesyp","2330","2024-05-02","2024-05-02","DEGREE_OF_CONSERVATION","100"
681,"Semínský pøesyp","2330","2024-05-02","2024-05-02","MRTVE_DREVO",NA
681,"Semínský pøesyp","2330","2024-05-02","2024-05-02","KALAMITA_POLOM",NA
681,"Semínský pøesyp","2330","2024-05-02","2024-05-02","EVL_AREA_PERC","15.813"
681,"Semínský pøesyp","2330","2024-05-02","2024-05-02","GOOD_DOC_AREA_HA","0.0334"
681,"Semínský pøesyp","2330","2024-05-02","2024-05-02","W_AREA_HA","0"
681,"Semínský pøesyp","2330","2024-05-02","2024-05-02","W_AREA_PERC","0"
681,"Semínský pøesyp","2330","2024-05-02","2024-05-02","PASEKY_AREA_HA",NA
681,"Semínský pøesyp","2330","2024-05-02","2024-05-02","PASEKY_AREA_PERC",NA
681,"Semínský pøesyp","2330","2024-05-02","2024-05-02","DEGRAD_AREA_HA","0"
681,"Semínský pøesyp","2330","2024-05-02","2024-05-02","DEGRAD_AREA_PERC","0"
681,"Semínský pøesyp","2330","2024-05-02","2024-05-02","PERC_0","0"
681,"Semínský pøesyp","2330","2024-05-02","2024-05-02","PERC_1","0"
681,"Semínský pøesyp","2330","2024-05-02","2024-05-02","PERC_2","100"
1183,"Velký vrch u Vršovic","9170","2024-05-24","2024-05-24","ROZLOHA","18.2551"
1183,"Velký vrch u Vršovic","9170","2024-05-24","2024-05-24","KVALITA","2"
1183,"Velký vrch u Vršovic","9170","2024-05-24","2024-05-24","TYPICKE_DRUHY","2"
1183,"Velký vrch u Vršovic","9170","2024-05-24","2024-05-24","REPRE","2"
1183,"Velký vrch u Vršovic","9170","2024-05-24","2024-05-24","REPRE_SDF","2"
1183,"Velký vrch u Vršovic","9170","2024-05-24","2024-05-24","CONSERVATION","2"
