"SITECODE","NAZEV","HABITAT_CODE","indikator","value"
681,"Semínský pøesyp","T5.2","ROZLOHA","0.0334"
681,"Semínský pøesyp","T5.2","RED_LIST","0"
681,"Semínský pøesyp","T5.2","INVASIVE","0"
681,"Semínský pøesyp","T5.2","EXPANSIVE","0"
681,"Semínský pøesyp","T5.2","RED_LIST_SPECIES",NA
681,"Semínský pøesyp","T5.2","INVASIVE_LIST",NA
681,"Semínský pøesyp","T5.2","EXPANSIVE_LIST",NA
1183,"Velký vrch u Vršovic","L3.1","ROZLOHA","18.2551"
1183,"Velký vrch u Vršovic","L3.1","RED_LIST","0.3302"
1183,"Velký vrch u Vršovic","L3.1","INVASIVE","0"
1183,"Velký vrch u Vršovic","L3.1","EXPANSIVE","0"
1183,"Velký vrch u Vršovic","L3.1","RED_LIST_SPECIES","Cypripedium calceolus"
1183,"Velký vrch u Vršovic","L3.1","INVASIVE_LIST",NA
1183,"Velký vrch u Vršovic","L3.1","EXPANSIVE_LIST",NA
1183,"Velký vrch u Vršovic","L6.4","ROZLOHA","4.8364"
1183,"Velký vrch u Vršovic","L6.4","RED_LIST","0.3708"
1183,"Velký vrch u Vršovic","L6.4","INVASIVE","0"
1183,"Velký vrch u Vršovic","L6.4","EXPANSIVE","0"
1183,"Velký vrch u Vršovic","L6.4","RED_LIST_SPECIES","Cypripedium calceolus"
1183,"Velký vrch u Vršovic","L6.4","INVASIVE_LIST",NA
1183,"Velký vrch u Vršovic","L6.4","EXPANSIVE_LIST",NA
1183,"Velký vrch u Vršovic","T3.4D","ROZLOHA","2.9162"
1183,"Velký vrch u Vršovic","T3.4D","RED_LIST","0.3891"
1183,"Velký vrch u Vršovic","T3.4D","INVASIVE","0"
1183,"Velký vrch u Vršovic","T3.4D","EXPANSIVE","0"
1183,"Velký vrch u Vršovic","T3.4D","RED_LIST_SPECIES","Cypripedium calceolus"
1183,"Velký vrch u Vršovic","T3.4D","INVASIVE_LIST",NA
1183,"Velký vrch u Vršovic","T3.4D","EXPANSIVE_LIST",NA
1183,"Velký vrch u Vršovic","T3.3D","ROZLOHA","0"
1183,"Velký vrch u Vršovic","T3.3D","RED_LIST",NA
1183,"Velký vrch u Vršovic","T3.3D","INVASIVE",NA
1183,"Velký vrch u Vršovic","T3.3D","EXPANSIVE",NA
1183,"Velký vrch u Vršovic","T3.3D","RED_LIST_SPECIES",NA
1183,"Velký vrch u Vršovic","T3.3D","INVASIVE_LIST",NA
1183,"Velký vrch u Vršovic","T3.3D","EXPANSIVE_LIST",NA
1183,"Velký vrch u Vršovic","K3","ROZLOHA","0"
1183,"Velký vrch u Vršovic","K3","RED_LIST",NA
1183,"Velký vrch u Vršovic","K3","INVASIVE",NA
1183,"Velký vrch u Vršovic","K3","EXPANSIVE",NA
1183,"Velký vrch u Vršovic","K3","RED_LIST_SPECIES",NA
1183,"Velký vrch u Vršovic","K3","INVASIVE_LIST",NA
1183,"Velký vrch u Vršovic","K3","EXPANSIVE_LIST",NA
5874,"Hodonínská Dúbrava","V2","ROZLOHA","0"
5874,"Hodonínská Dúbrava","V2","RED_LIST",NA
5874,"Hodonínská Dúbrava","V2","INVASIVE",NA
5874,"Hodonínská Dúbrava","V2","EXPANSIVE",NA
5874,"Hodonínská Dúbrava","V2","RED_LIST_SPECIES",NA
5874,"Hodonínská Dúbrava","V2","INVASIVE_LIST",NA
5874,"Hodonínská Dúbrava","V2","EXPANSIVE_LIST",NA
5874,"Hodonínská Dúbrava","L2.2","ROZLOHA","19.2981"
5874,"Hodonínská Dúbrava","L2.2","RED_LIST","0.3287"
5874,"Hodonínská Dúbrava","L2.2","INVASIVE","0"
5874,"Hodonínská Dúbrava","L2.2","EXPANSIVE","0"
5874,"Hodonínská Dúbrava","L2.2","RED_LIST_SPECIES","Gladiolus palustris"
5874,"Hodonínská Dúbrava","L2.2","INVASIVE_LIST",NA
5874,"Hodonínská Dúbrava","L2.2","EXPANSIVE_LIST",NA
5874,"Hodonínská Dúbrava","L3.4","ROZLOHA","68.2142"
5874,"Hodonínská Dúbrava","L3.4","RED_LIST","0.2978"
5874,"Hodonínská Dúbrava","L3.4","INVASIVE","0"
5874,"Hodonínská Dúbrava","L3.4","EXPANSIVE","0"
5874,"Hodonínská Dúbrava","L3.4","RED_LIST_SPECIES","Gladiolus palustris"
5874,"Hodonínská Dúbrava","L3.4","INVASIVE_LIST",NA
5874,"Hodonínská Dúbrava","L3.4","EXPANSIVE_LIST",NA
5874,"Hodonínská Dúbrava","L6.3","ROZLOHA","437.4144"
5874,"Hodonínská Dúbrava","L6.3","RED_LIST","0.2616"
5874,"Hodonínská Dúbrava","L6.3","INVASIVE","0"
5874,"Hodonínská Dúbrava","L6.3","EXPANSIVE","0"
5874,"Hodonínská Dúbrava","L6.3","RED_LIST_SPECIES","Gladiolus palustris"
5874,"Hodonínská Dúbrava","L6.3","INVASIVE_LIST",NA
5874,"Hodonínská Dúbrava","L6.3","EXPANSIVE_LIST",NA
2213,"Tøtìnské stránì","T3.4D","ROZLOHA","4.548"
2213,"Tøtìnské stránì","T3.4D","RED_LIST","0"
2213,"Tøtìnské stránì","T3.4D","INVASIVE","0"
2213,"Tøtìnské stránì","T3.4D","EXPANSIVE","0"
