"SITECODE";"NAZEV";"HABITAT_CODE";"ROZLOHA";"RED_LIST";"INVASIVE";"EXPANSIVE";"RED_LIST_SPECIES";"INVASIVE_LIST";"EXPANSIVE_LIST"
681;"Semínský pøesyp";"T5.2";0,033378783776638;0;100;0;"NA";"Arctium lappa, Armoracia rusticana, Arrhenatherum elatius, Artemisia absinthium, Atriplex patula, Berteroa incana, Bromus tectorum, Capsella bursa-pastoris, Conyza canadensis, Descurainia sophia, Digitaria sanguinalis, Erodium cicutarium, Erysimum cheiranthoides, Geranium pusillum, Lactuca serriola, Lamium album, Lamium purpureum, Medicago ×varia, Medicago sativa, Melilotus albus, Oenothera biennis, Papaver dubium, Prunus domestica, Quercus rubra, Robinia pseudoacacia, Rumex thyrsiflorus, Saponaria officinalis, Setaria pumila, Silene latifolia subsp. alba, Silene noctiflora, Solidago canadensis, Symphoricarpos albus, Veronica arvensis, Veronica triphyllos, Vicia angustifolia";"NA"
1183;"Velký vrch u Vršovic";"L3.1";18,2551444205484;0,330175008565621;100;0;"Cypripedium calceolus";"Robinia pseudoacacia, Aesculus hippocastanum, Ailanthus altissima, Arctium lappa, Arctium tomentosum, Arrhenatherum elatius, Asparagus officinalis, Atriplex oblongifolia, Carduus acanthoides, Cichorium intybus, Cirsium arvense, Convolvulus arvensis, Echinops sphaerocephalus, Fumaria officinalis, Chenopodium bonus-henricus, Juglans regia, Lamium album, Melilotus officinalis, Onobrychis viciifolia, Pinus nigra, Pyrus communis, Quercus rubra, Reseda lutea, Reseda luteola, Silene latifolia subsp. alba, Sisymbrium officinale, Tragopogon dubius";"NA"
1183;"Velký vrch u Vršovic";"L6.4";4,83639443832254;0,370833573631373;100;0;"Cypripedium calceolus";"Echinops sphaerocephalus, Robinia pseudoacacia";"NA"
1183;"Velký vrch u Vršovic";"T3.4D";2,91623777889652;0,389081035048158;60,5843601362985;58,7399420745122;"Cypripedium calceolus";"Robinia pseudoacacia, Arrhenatherum elatius, Asparagus officinalis, Onobrychis viciifolia, Pinus nigra, Convolvulus arvensis, Pyrus communis";"Betula pendula, Bromus erectus"
1183;"Velký vrch u Vršovic";"T3.3D";0;NA;NA;NA;NA;NA;NA
1183;"Velký vrch u Vršovic";"K3";0;NA;NA;NA;NA;NA;NA
5874;"Hodonínská Dúbrava";"V2";0;NA;NA;NA;NA;NA;NA
5874;"Hodonínská Dúbrava";"L2.2";19,2981065463853;0,328667693926418;88,4563226094779;84,4890230566646;"Gladiolus palustris";"Impatiens parviflora, Parthenocissus inserta, Solidago gigantea, Acer negundo, Prunus serotina, Robinia pseudoacacia, Symphyotrichum lanceolatum, Mahonia aquifolium, Cirsium arvense, Erechtites hieraciifolius, Arctium lappa, Juglans regia, Malus domestica, Bidens frondosa, Erigeron annuus, Oxalis stricta, Populus ×canadensis, Quercus rubra, Tanacetum vulgare, Arrhenatherum elatius, Convolvulus arvensis, Pyrus communis, Ribes rubrum, Asparagus officinalis, Carduus acanthoides, Conyza canadensis, Lactuca serriola, Linaria vulgaris, Saponaria officinalis, Silene latifolia subsp. alba, Digitaria sanguinalis, Juncus tenuis, Tragopogon dubius";"Alnus glutinosa, Salix alba, Phragmites australis, Betula pendula, Brachypodium sylvaticum, Carex acutiformis, Rubus caesius, Salix cinerea, Pinus sylvestris, Tilia cordata"
5874;"Hodonínská Dúbrava";"L3.4";68,214224021483;0,29777428288183;83,3593445227846;59,9080576637219;"Gladiolus palustris";"Impatiens parviflora, Prunus serotina, Solidago gigantea, Ailanthus altissima, Arrhenatherum elatius, Conyza canadensis, Pinus nigra, Robinia pseudoacacia, Symphyotrichum lanceolatum, Viola odorata, Asparagus officinalis, Bromus sterilis, Erigeron annuus, Linaria vulgaris, Oxalis stricta, Setaria pumila, Tanacetum vulgare, Tragopogon dubius, Acer negundo, Arctium lappa, Geranium pusillum, Parthenocissus inserta, Bidens frondosa, Digitaria sanguinalis, Duchesnea indica, Juncus tenuis, Quercus rubra, Nepeta cataria, Pyrus communis, Saponaria officinalis, Vinca minor, Galinsoga parviflora";"Tilia cordata, Dactylis glomerata, Aegopodium podagraria, Frangula alnus"
5874;"Hodonínská Dúbrava";"L6.3";437,41436602896;0,261587999760872;82,7761533513434;56,2376023308451;"Gladiolus palustris";"Arrhenatherum elatius, Impatiens parviflora, Prunus serotina, Robinia pseudoacacia, Ailanthus altissima, Erechtites hieraciifolius, Oxalis stricta, Quercus rubra, Silene latifolia subsp. alba, Solidago gigantea, Symphyotrichum lanceolatum, Asparagus officinalis, Conyza canadensis, Viola odorata, Linaria vulgaris, Juglans regia, Saponaria officinalis, Symphoricarpos albus, Erigeron annuus, Melilotus officinalis, Setaria pumila, Sonchus oleraceus, Cirsium arvense, Parthenocissus inserta, Thlaspi arvense, Echinochloa crus-galli, Chenopodium strictum, Juncus tenuis, Lepidium campestre, Tanacetum vulgare, Bromus tectorum, Convolvulus arvensis, Lathyrus tuberosus, Sonchus arvensis, Veronica arvensis, Arctium lappa, Digitaria ischaemum, Sambucus ebulus, Acer negundo, Anthriscus caucalis, Lactuca serriola, Lamium purpureum, Malus domestica, Pinus nigra, Pseudotsuga menziesii, Solidago canadensis, Bidens frondosa, Erysimum cheiranthoides, Carduus acanthoides, Capsella bursa-pastoris, Erodium cicutarium, Sonchus asper, Bromus sterilis, Tragopogon dubius, Populus ×canadensis, Sorbus domestica, Ambrosia artemisiifolia, Crepis setosa, Mahonia aquifolium, Pyrus communis, Vicia angustifolia, Dysphania pumilio, Epilobium adenocaulon, Fumaria vaillantii, Rumex thyrsiflorus, Digitaria sanguinalis, Oxalis dillenii, Ribes rubrum, Senecio vulgaris, Tripleurospermum inodorum, Vicia sativa, Harmonia axyridis, Lysimachia punctata, Myocastor coypus, Galinsoga parviflora, Helianthus tuberosus, Lamium album, Viola ×scabra, Viola suavis, Atriplex patula, Vinca minor, Aesculus hippocastanum, Armoracia rusticana, Berteroa incana, Lepidium virginicum, Melissa officinalis";"Pinus sylvestris, Tilia cordata, Betula pendula, Agrostis capillaris, Calamagrostis epigejos, Brachypodium sylvaticum, Melica uniflora, Dactylis glomerata, Fallopia dumetorum, Chelidonium majus, Rubus caesius, Populus tremula, Lysimachia vulgaris, Carex acutiformis, Frangula alnus, Phragmites australis, Ligustrum vulgare, Alnus glutinosa"
