typ_predmetu_hodnoceni;kod_chu;nazev_chu;druh;feature_code;datum_hodnoceni_od;datum_hodnoceni_do;parametr_nazev;parametr_hodnota;parametr_limit;parametr_jednotka;stav;trend;datum_hodnoceni;oop;pracoviste;poznamka;Poznámka
Stanoviště;CZ0530028;Vadětín - Lanšperk;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2013-09-24;2016-04-29;128;0,9181;0.9;hektary;11;3;2025-11-07;Krajský úřad Pardubického kraje;RP Východní Čechy;VMB2;NA
Stanoviště;CZ0530028;Vadětín - Lanšperk;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2013-09-24;2016-04-29;129;1,8179;1.9;140;11;3;2025-11-07;Krajský úřad Pardubického kraje;RP Východní Čechy;VMB2;NA
Stanoviště;CZ0530028;Vadětín - Lanšperk;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2013-09-24;2016-04-29;132;2,0315;NA;140;8;3;2025-11-07;Krajský úřad Pardubického kraje;RP Východní Čechy;NA;NA
Stanoviště;CZ0530028;Vadětín - Lanšperk;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;133;NA;NA;% rozlohy v celistvém uspořádání splňující hodnotu minimiareálu;8;NA;2025-11-07;Krajský úřad Pardubického kraje;RP Východní Čechy;NA;NA
Stanoviště;CZ0530028;Vadětín - Lanšperk;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;135;NA;NA;% hranice s nepřírodními biotopy;8;NA;2025-11-07;Krajský úřad Pardubického kraje;RP Východní Čechy;NA;NA
Stanoviště;CZ0530028;Vadětín - Lanšperk;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;134;NA;NA;zastoupení nepřírodních biotopů v segmentech stanoviště;8;NA;2025-11-07;Krajský úřad Pardubického kraje;RP Východní Čechy;NA;NA
Stanoviště;CZ0530028;Vadětín - Lanšperk;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;136;NA;NA;druhy červeného seznamu;8;NA;2025-11-07;Krajský úřad Pardubického kraje;RP Východní Čechy;NA;NA
Stanoviště;CZ0530028;Vadětín - Lanšperk;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;137;NA;NA;% rozlohy zasažené invazními druhy;8;NA;2025-11-07;Krajský úřad Pardubického kraje;RP Východní Čechy;MINIMI;NA
Stanoviště;CZ0530028;Vadětín - Lanšperk;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;138;NA;NA;% rozlohy zasažené expanzivními druhy;8;NA;2025-11-07;Krajský úřad Pardubického kraje;RP Východní Čechy;MINIMI;NA
Stanoviště;CZ0530028;Vadětín - Lanšperk;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2013-09-24;2016-04-29;10;NA;NA;NA;11;NA;2025-11-07;Krajský úřad Pardubického kraje;RP Východní Čechy;NA;NA
Stanoviště;CZ0530501;Brandýs;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2015-05-08;2023-05-07;128;2,6428;2.97;hektary;13;4;2025-11-07;Krajský úřad Pardubického kraje;RP Východní Čechy;VMB2;NA
Stanoviště;CZ0530501;Brandýs;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2015-05-08;2023-05-07;129;1,0078;1.4;140;11;2;2025-11-07;Krajský úřad Pardubického kraje;RP Východní Čechy;VMB2;NA
Stanoviště;CZ0530501;Brandýs;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2015-05-08;2023-05-07;132;2,2393;NA;140;8;3;2025-11-07;Krajský úřad Pardubického kraje;RP Východní Čechy;NA;NA
Stanoviště;CZ0530501;Brandýs;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;133;NA;NA;% rozlohy v celistvém uspořádání splňující hodnotu minimiareálu;8;NA;2025-11-07;Krajský úřad Pardubického kraje;RP Východní Čechy;NA;NA
Stanoviště;CZ0530501;Brandýs;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;135;NA;NA;% hranice s nepřírodními biotopy;8;NA;2025-11-07;Krajský úřad Pardubického kraje;RP Východní Čechy;NA;NA
Stanoviště;CZ0530501;Brandýs;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;134;NA;NA;zastoupení nepřírodních biotopů v segmentech stanoviště;8;NA;2025-11-07;Krajský úřad Pardubického kraje;RP Východní Čechy;NA;NA
Stanoviště;CZ0530501;Brandýs;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;136;NA;NA;druhy červeného seznamu;8;NA;2025-11-07;Krajský úřad Pardubického kraje;RP Východní Čechy;NA;NA
Stanoviště;CZ0530501;Brandýs;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;137;NA;NA;% rozlohy zasažené invazními druhy;8;NA;2025-11-07;Krajský úřad Pardubického kraje;RP Východní Čechy;MINIMI;NA
Stanoviště;CZ0530501;Brandýs;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;138;NA;NA;% rozlohy zasažené expanzivními druhy;8;NA;2025-11-07;Krajský úřad Pardubického kraje;RP Východní Čechy;MINIMI;NA
Stanoviště;CZ0530501;Brandýs;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2015-05-08;2023-05-07;10;NA;NA;NA;12;NA;2025-11-07;Krajský úřad Pardubického kraje;RP Východní Čechy;NA;NA
Stanoviště;CZ0624020;Stránská skála;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2014-05-14;2014-05-14;128;0,9911;0.98;hektary;11;3;2025-11-07;AOPK ČR - RP Jižní Morava;RP Jižní Morava;VMB2;NA
Stanoviště;CZ0624020;Stránská skála;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2014-05-14;2014-05-14;129;1;1;140;11;3;2025-11-07;AOPK ČR - RP Jižní Morava;RP Jižní Morava;VMB2;NA
Stanoviště;CZ0624020;Stránská skála;Chasmofytická vegetace vápnitých skalnatých svahů;8210;2014-05-14;2014-05-14;132;2,0138;NA;140;8;3;2025-11-07;AOPK ČR - RP Jižní Morava;RP Jižní Morava;NA;NA
Stanoviště;CZ0624020;Stránská skála;Chasmofytická vegetace vápnitých skalnatých svahů;8210;NA;NA;133;NA;NA;% rozlohy v celistvém uspořádání splňující hodnotu minimiareálu;8;NA;2025-11-07;AOPK ČR - RP Jižní Morava;RP Jižní Morava;NA;NA
