"typ_predmetu_hodnoceni","kod_chu","nazev_chu","druh","feature_code","datum_hodnoceni_od","datum_hodnoceni_do","parametr_nazev","parametr_hodnota","parametr_limit","parametr_jednotka","stav","trend","datum_hodnoceni","oop","pracoviste","poznamka","Poznámka"
"Stanovištì","CZ0210173","Slaná louka u Újezdce","Vnitrozemské slané louky","1340","2021-09-03","2021-09-03",128,"1,0057",0.73,"hektary",11,2,"2026-02-20","Krajský úøad Støedoèeského kraje","RP Støední Èechy","VMB2",NA
"Stanovištì","CZ0210173","Slaná louka u Újezdce","Vnitrozemské slané louky","1340","2021-09-03","2021-09-03",129,"2,3632",2,"140",13,4,"2026-02-20","Krajský úøad Støedoèeského kraje","RP Støední Èechy","VMB2",NA
"Stanovištì","CZ0210173","Slaná louka u Újezdce","Vnitrozemské slané louky","1340","2021-09-03","2021-09-03",132,"2,1816",NA,"140",8,NA,"2026-02-20","Krajský úøad Støedoèeského kraje","RP Støední Èechy",NA,NA
"Stanovištì","CZ0210173","Slaná louka u Újezdce","Vnitrozemské slané louky","1340",NA,NA,133,NA,NA,"% rozlohy v celistvém uspoøádání splòující hodnotu minimiareálu",8,NA,"2026-02-20","Krajský úøad Støedoèeského kraje","RP Støední Èechy",NA,NA
"Stanovištì","CZ0210173","Slaná louka u Újezdce","Vnitrozemské slané louky","1340",NA,NA,135,NA,NA,"% hranice s nepøírodními biotopy",8,NA,"2026-02-20","Krajský úøad Støedoèeského kraje","RP Støední Èechy","MINIMI",NA
"Stanovištì","CZ0210173","Slaná louka u Újezdce","Vnitrozemské slané louky","1340",NA,NA,134,NA,NA,"zastoupení nepøírodních biotopù v segmentech stanovištì",8,NA,"2026-02-20","Krajský úøad Støedoèeského kraje","RP Støední Èechy",NA,NA
"Stanovištì","CZ0210173","Slaná louka u Újezdce","Vnitrozemské slané louky","1340",NA,NA,136,NA,NA,"druhy èerveného seznamu",8,NA,"2026-02-20","Krajský úøad Støedoèeského kraje","RP Støední Èechy",NA,NA
"Stanovištì","CZ0210173","Slaná louka u Újezdce","Vnitrozemské slané louky","1340",NA,NA,137,NA,NA,"% rozlohy zasažené invazními druhy",8,NA,"2026-02-20","Krajský úøad Støedoèeského kraje","RP Støední Èechy","MINIMI",NA
"Stanovištì","CZ0210173","Slaná louka u Újezdce","Vnitrozemské slané louky","1340",NA,NA,138,NA,NA,"% rozlohy zasažené expanzivními druhy",8,NA,"2026-02-20","Krajský úøad Støedoèeského kraje","RP Støední Èechy","MINIMI",NA
"Stanovištì","CZ0210173","Slaná louka u Újezdce","Vnitrozemské slané louky","1340","2021-09-03","2021-09-03",162,NA,NA,"140",8,NA,"2026-02-20","Krajský úøad Støedoèeského kraje","RP Støední Èechy",NA,NA
