"","sitecode","habitat","region_id","pair","datum_new","datum_old"
"1","CZ0110040","9170","CZ2752","VMB1_VMB2",2011-07-06,2001-07-06
"2","CZ0110040","9180","CZ2752","VMB1_VMB2",2011-07-06,2001-07-06
"3","CZ0110050","9180","CZ2788","VMB1_VMB2",2009-09-28,2001-07-05
"4","CZ0110142","9170","CZ0838","VMB2_VMB0",2021-11-10,2008-09-21
"5","CZ0110142","9190","CZ0838","VMB2_VMB0",2021-11-10,2008-09-21
"6","CZ0114001","9170","CZ2742","VMB1_VMB2",2017-04-23,2003-10-28
"7","CZ0114001","9180","CZ2742","VMB1_VMB2",2017-04-23,2000-11-28
"8","CZ0114001","91H0","CZ2742","VMB1_VMB2",2017-04-23,2000-11-28
"9","CZ0210008","91F0","CZ0877","VMB2_VMB0",2025-07-04,2012-09-05
"10","CZ0210010","9170","CZ0801","VMB2_VMB0",2022-09-19,2008-08-06
"11","CZ0210010","9170","CZ0808","VMB1_VMB2",2017-04-20,2003-05-24
"12","CZ0210010","91I0","CZ0801","VMB2_VMB0",2022-09-19,2008-08-06
"13","CZ0210011","9170","CZ0808","VMB2_VMB0",2025-06-03,2017-04-23
"14","CZ0210022","9170","CZ2780","VMB2_VMB0",2025-07-14,2013-07-08
"15","CZ0210022","9190","CZ2780","VMB2_VMB0",2025-07-14,2013-05-24
"16","CZ0210027","9110","CZ2638","VMB1_VMB2",2015-05-18,2003-07-19
"17","CZ0210027","9130","CZ2616","VMB1_VMB2",2015-07-30,2003-05-31
"18","CZ0210027","9130","CZ2638","VMB1_VMB2",2015-05-16,2003-07-19
"19","CZ0210028","9130","CZ0153","VMB2_VMB0",2021-04-29,2007-08-07
"20","CZ0210028","9130","CZ0779","VMB2_VMB0",2023-08-17,2009-06-17
"21","CZ0210028","9130","CZ0787","VMB1_VMB2",2012-06-30,2003-10-06
"22","CZ0210028","9180","CZ0779","VMB2_VMB0",2023-08-17,2009-07-01
"23","CZ0210028","9180","CZ0787","VMB1_VMB2",2012-06-30,2004-10-06
"24","CZ0210043","9110","CZ0181","VMB2_VMB0",2024-05-14,2008-10-04
"25","CZ0210043","9110","CZ0783","VMB1_VMB2",2008-10-04,2004-09-10
"26","CZ0210043","9110","CZ2556","VMB1_VMB2",2017-06-27,2004-09-10
"27","CZ0210043","9180","CZ0181","VMB2_VMB0",2024-05-14,2007-11-17
"28","CZ0210043","9180","CZ0783","VMB1_VMB2",2008-10-04,2003-07-21
"29","CZ0210043","9180","CZ2519","VMB1_VMB2",2010-07-29,2003-07-21
"30","CZ0210047","9110","CZ2223","VMB1_VMB2",2015-08-14,2005-03-12
"31","CZ0210047","9180","CZ2223","VMB1_VMB2",2015-08-14,2004-09-05
