"TYP_CHU";"SITECODE";"HABITAT_CODE";"ROZLOHA_PASEKY";"ROZLOHA_HOLINY";"POCET_SEGMENTU_PASEKY"
"EVL";"CZ0520519";"7140";NA;NA;NA
"EVL";"CZ0520519";"8220";NA;NA;NA
"EVL";"CZ0520519";"8310";NA;NA;NA
"EVL";"CZ0520519";"9110";0,684144563725417;0;19
"EVL";"CZ0520519";"9410";0,86427480937652;0;14
"EVL";"CZ0520519";"91D0";0,573412686618594;0;5
"EVL";"CZ0214005";"6410";NA;NA;NA
"EVL";"CZ0214005";"6430";NA;NA;NA
"EVL";"CZ0214005";"6510";NA;NA;NA
"EVL";"CZ0214005";"9170";0;0;0
"EVL";"CZ0214005";"9180";0;0;0
"EVL";"CZ0214005";"91E0";0;0;0
"EVL";"CZ0534051";"6210";NA;NA;NA
"EVL";"CZ0534051";"6510";NA;NA;NA
"EVL";"CZ0534051";"91E0";0;0;0
"EVL";"CZ0610175";"9110";0;0;0
"EVL";"CZ0720013";"6210";NA;NA;NA
"EVL";"CZ0720013";"6510";NA;NA;NA
"EVL";"CZ0720013";"91I0";0;0;0
"EVL";"CZ0520028";"7220";NA;NA;NA
"EVL";"CZ0520028";"8210";NA;NA;NA
"EVL";"CZ0520028";"9180";0,00775120877820568;0;2
"EVL";"CZ0424034";"6410";NA;NA;NA
"EVL";"CZ0424034";"6430";NA;NA;NA
"EVL";"CZ0424034";"6510";NA;NA;NA
"EVL";"CZ0410404";"3150";NA;NA;NA
"EVL";"CZ0410404";"3160";NA;NA;NA
"EVL";"CZ0410404";"7140";NA;NA;NA
"EVL";"CZ0410404";"9410";2,5572707101738;1,01159714495964;7
"EVL";"CZ0714082";"9170";0;0;0
"EVL";"CZ0714082";"91F0";0;0;0
"EVL";"CZ0323142";"3260";NA;NA;NA
"EVL";"CZ0724089";"3220";NA;NA;NA
"EVL";"CZ0724089";"3240";NA;NA;NA
"EVL";"CZ0724089";"5130";NA;NA;NA
"EVL";"CZ0724089";"6210";NA;NA;NA
"EVL";"CZ0724089";"6230";NA;NA;NA
"EVL";"CZ0724089";"6430";NA;NA;NA
"EVL";"CZ0724089";"6510";NA;NA;NA
