"TYP_CHU";"SITECODE";"HABITAT_CODE";"ROZLOHA_PASEKY";"ROZLOHA_HOLINY";"POCET_SEGMENTU_PASEKY"
"MZCHU";"681";"T5.2";NA;NA;NA
"MZCHU";"1183";"L3.1";0;0;0
"MZCHU";"1183";"L6.4";0;0;0
"MZCHU";"1183";"T3.4D";NA;NA;NA
"MZCHU";"1183";"T3.3D";NA;NA;NA
"MZCHU";"1183";"K3";NA;NA;NA
"MZCHU";"5874";"V2";NA;NA;NA
"MZCHU";"5874";"L2.2";0;0;0
"MZCHU";"5874";"L3.4";1,06287525721035;1,02662771914806;4
"MZCHU";"5874";"L6.3";25,8510991131202;3,88724916691755;45
"MZCHU";"2213";"T3.4D";NA;NA;NA
"MZCHU";"2213";"T7";NA;NA;NA
