DRUH,ID_IND,KOMPILACE,TYP_IND,LIM_IND,JEDNOTKA,KLIC,UROVEN,pozn,...9,LIM_INDLIST
Aconitum firmum subsp. moravicum,POP_POCET,dplyr::case_when(,min,50,poèet prýtù,ano,lok,NA,NA,alespoò 50 poèet prýtù
Aconitum firmum subsp. moravicum,POP_POSKPERC,dplyr::case_when(,max,2,procenta poètu prýtù,ne,lok,NA,NA,nejvýš 2 procenta poètu prýtù
Aconitum firmum subsp. moravicum,POP_POSKPOC,dplyr::case_when(,max,3,poèet typù poškození rostlin,ne,lok,NA,NA,nejvýš 3 poèet typù poškození rostlin
Aconitum firmum subsp. moravicum,POP_TREND,sum(,max,1,posledních dvou let s menším poètem jedincù než je referenèní hodnota,ano,lok,NA,NA,nejvýš 1 posledních dvou let s menším poètem jedincù než je referenèní hodnota
Aconitum firmum subsp. moravicum,POP_VITAL,POP_POCETVITAL/POP_POCET*100) %>%,min,30,% poèet prýtù,ano,lok,NA,NA,alespoò 30 % poèet prýtù
Aconitum firmum subsp. moravicum,STA_POKRYVNOSTE1,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTE1>).*(?=</STA_POKRYVNOSTE1>)"")),",val,0,NA,ne,lok,NA,NA,"0, do 5 %, 5-25 %, 25-50 %, 50-75 %"
Aconitum firmum subsp. moravicum,STA_POKRYVNOSTE1,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTE1>).*(?=</STA_POKRYVNOSTE1>)"")),",val,do 5 %,NA,ne,lok,NA,NA,"0, do 5 %, 5-25 %, 25-50 %, 50-75 %"
Aconitum firmum subsp. moravicum,STA_POKRYVNOSTE1,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTE1>).*(?=</STA_POKRYVNOSTE1>)"")),",val,5-25 %,NA,ne,lok,NA,NA,"0, do 5 %, 5-25 %, 25-50 %, 50-75 %"
Aconitum firmum subsp. moravicum,STA_POKRYVNOSTE1,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTE1>).*(?=</STA_POKRYVNOSTE1>)"")),",val,25-50 %,NA,ne,lok,NA,NA,"0, do 5 %, 5-25 %, 25-50 %, 50-75 %"
Aconitum firmum subsp. moravicum,STA_POKRYVNOSTE1,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTE1>).*(?=</STA_POKRYVNOSTE1>)"")),",val,50-75 %,NA,ne,lok,NA,NA,"0, do 5 %, 5-25 %, 25-50 %, 50-75 %"
Aconitum firmum subsp. moravicum,STA_POKRYVNOSTE2E3,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTE2E3>).*(?=</STA_POKRYVNOSTE2E3>)"")),",val,0,NA,ne,lok,NA,NA,"0, do 5 %, 5-25 %, 25-50 %, 50-75 %"
Aconitum firmum subsp. moravicum,STA_POKRYVNOSTE2E3,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTE2E3>).*(?=</STA_POKRYVNOSTE2E3>)"")),",val,do 5 %,NA,ne,lok,NA,NA,"0, do 5 %, 5-25 %, 25-50 %, 50-75 %"
Aconitum firmum subsp. moravicum,STA_POKRYVNOSTE2E3,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTE2E3>).*(?=</STA_POKRYVNOSTE2E3>)"")),",val,5-25 %,NA,ne,lok,NA,NA,"0, do 5 %, 5-25 %, 25-50 %, 50-75 %"
Aconitum firmum subsp. moravicum,STA_POKRYVNOSTE2E3,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTE2E3>).*(?=</STA_POKRYVNOSTE2E3>)"")),",val,25-50 %,NA,ne,lok,NA,NA,"0, do 5 %, 5-25 %, 25-50 %, 50-75 %"
Aconitum firmum subsp. moravicum,STA_POKRYVNOSTE2E3,"readr::parse_character(stringr::str_extract(STRUKT_POZN, ""(?<=<STA_POKRYVNOSTE2E3>).*(?=</STA_POKRYVNOSTE2E3>)"")),",val,50-75 %,NA,ne,lok,NA,NA,"0, do 5 %, 5-25 %, 25-50 %, 50-75 %"
Aconitum firmum subsp. moravicum,STA_POKRYVNOSTEXPANZNI,readr::parse_character(,val,0,NA,ne,lok,NA,NA,"0, do 5 %, 5-25 %"
